Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Dennys Reyes,2003-06-11,Arizona Diamondbacks,TEX,26,-0.3,6,229,43,2,3,0,0,1,2,.070,.111,.093,.204,15,21,4.56,1.607,253,27,2,355.1,358,32,213,332,reyesde01
2,Mark Little,2003-06-03,Cleveland Indians,ARI,30,0.5,3,137,227,46,57,3,20,8,18,.251,.339,.366,.704,,,,,,,,,,,,,littlma01
3,Esteban Yan,2003-05-27,St. Louis Cardinals,TBD,28,0.8,7,12,1,1,1,1,1,0,0,1.000,1.000,4.000,5.000,26,31,5.26,1.474,273,23,42,437.2,480,68,165,362,yanes01
4,Mike Fyhrie,2003-05-25,Kansas City Royals,OAK,33,2.4,5,21,2,0,0,0,0,0,0,.000,.000,.000,.000,2,11,4.00,1.426,84,11,0,175.1,183,16,67,109,fyhrimi01
5,Jim Rushford,2003-05-15,Milwaukee Brewers,MIL,29,-1.1,1,23,77,8,11,1,6,0,6,.143,.214,.208,.422,,,,,,,,,,,,,rushfji01
6,Rolando Arrojo,2003-05-07,New York Yankees,BOS,37,2.8,5,24,37,2,3,0,3,0,1,.081,.105,.108,.213,40,42,4.55,1.386,158,105,6,700.0,715,83,255,512,arrojro01
7,Jeff Reboulet,2003-04-18,Pittsburgh Pirates,LAD,39,0.8,11,925,1968,273,473,17,177,20,265,.240,.333,.316,.649,,,,,,,,,,,,,rebouje01
8,Chris Widger,2003-04-12,St. Louis Cardinals,NYY,32,0.2,7,488,1490,147,361,50,188,10,114,.242,.300,.409,.709,,,,,,,,,,,,,widgech01
9,Joey Hamilton,2003-04-11,Cincinnati Reds,CIN,32,0.5,9,189,336,19,43,4,22,0,8,.128,.146,.193,.340,74,73,4.38,1.410,239,209,1,1330.0,1387,127,488,887,hamiljo02
10,Bill Haselman,2003-04-11,Boston Red Sox,TEX,37,1.6,12,585,1603,185,416,47,210,9,114,.260,.311,.410,.721,,,,,,,,,,,,,haselbi01
11,Erik Sabel,2003-04-11,Arizona Diamondbacks,DET,28,0.4,3,44,2,0,0,0,0,0,0,.000,.000,.000,.000,3,2,5.02,1.459,50,0,0,61.0,71,10,18,31,sabeler01
12,Shane Reynolds,2003-04-10,Atlanta Braves,HOU,35,4.0,11,267,492,34,72,5,40,0,13,.146,.171,.207,.379,103,86,3.95,1.292,274,248,0,1622.1,1738,171,358,1309,reynosh01
13,Todd Erdos,2003-04-08,Minnesota Twins,BOS,29,-0.1,5,,,,,,,,,,,,,,,,,,,,,,,,,erdosto01
14,Sandy Martinez,2003-04-08,Kansas City Royals,MON,32,-0.1,7,214,558,39,130,6,51,1,37,.233,.286,.337,.623,,,,,,,,,,,,,martisa01
15,Tony McKnight,2003-04-08,Los Angeles Dodgers,PIT,26,0.8,2,,,,,,,,,,,,,,,,,,,,,,,,,mcknito01
16,Charles Gipson,2003-04-07,New York Yankees,SEA,30,0.6,5,331,296,72,70,0,27,12,28,.236,.312,.331,.643,,,,,,,,,,,,,gipsoch01
17,Pedro Feliciano,2003-04-03,New York Mets,DET,26,-0.1,1,6,0,0,0,0,0,0,0,,,,,0,0,7.50,1.667,6,0,0,6.0,9,0,1,4,felicpe01
18,Al Levine,2003-04-02,Tampa Bay Devil Rays,ANA,35,3.5,7,20,0,0,0,0,0,0,0,,,,,18,23,3.91,1.441,288,7,9,423.1,431,49,179,212,levinal01
19,Lee Stevens,2003-04-02,Milwaukee Brewers,CLE,35,-0.3,10,1012,3332,440,847,144,531,9,345,.254,.323,.448,.772,,,,,,,,,,,,,stevele01
20,Jalal Leach,2003-04-01,Seattle Mariners,NYY,34,-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,leachja01
21,Bob Smith,2003-03-30,New York Yankees,MIL,29,-0.9,5,258,826,88,192,21,107,11,70,.232,.297,.354,.650,,,,,,,,,,,,,smithbo06
22,Darren Bragg,2003-03-29,Atlanta Braves,ATL,33,0.3,9,765,2198,307,569,42,242,53,281,.259,.346,.389,.735,,,,,,,,,,,,,braggda01
23,Jose Cabrera,2003-03-29,Philadelphia Phillies,MIL,31,-1.9,6,188,23,1,2,0,0,0,0,.087,.087,.087,.174,19,17,4.95,1.421,198,11,4,271.0,291,42,94,192,cabrejo01
24,Wayne Gomes,2003-03-29,Philadelphia Phillies,BOS,30,-0.2,6,289,6,0,1,0,1,0,2,.167,.375,.167,.542,30,23,4.60,1.533,321,0,29,368.0,373,33,191,284,gomeswa01
25,A.J. Hinch,2003-03-29,Detroit Tigers,KCR,29,-0.2,5,319,868,96,192,29,101,13,68,.221,.284,.354,.638,,,,,,,,,,,,,hincha.01
26,Julio Santana,2003-03-29,Philadelphia Phillies,DET,30,1.5,5,46,14,0,2,0,1,0,0,.143,.143,.143,.286,14,26,5.33,1.586,161,42,0,428.2,476,63,204,255,santaju01
27,Terry Shumpert,2003-03-29,Tampa Bay Devil Rays,COL,36,-0.2,13,795,1885,281,481,47,216,84,156,.255,.316,.411,.727,,,,,,,,,,,,,shumpte01
28,Ron Villone,2003-03-29,Arizona Diamondbacks,PIT,33,-1.8,8,199,126,5,15,0,5,0,1,.119,.126,.151,.277,33,37,5.04,1.533,319,64,5,659.0,655,80,355,498,villoro01
29,Adrian Brown,2003-03-28,Boston Red Sox,PIT,29,0.7,6,408,1072,158,280,11,83,42,106,.261,.330,.347,.677,,,,,,,,,,,,,brownad01
30,Mike Venafro,2003-03-28,Tampa Bay Devil Rays,OAK,29,2.0,4,25,0,0,0,0,0,0,0,,,,,13,10,4.06,1.403,259,0,5,221.2,226,13,85,114,venafmi01
31,Marc Wilkins,2003-03-28,Florida Marlins,CHC,32,0.1,6,,,,,,,,,,,,,,,,,,,,,,,,,wilkima01
32,Fernando Lunar,2003-03-27,Kansas City Royals,BAL,26,-0.2,3,97,237,13,53,0,22,0,10,.224,.275,.257,.532,,,,,,,,,,,,,lunarfe01
33,Carlos Baerga,2003-03-26,Arizona Diamondbacks,BOS,34,-0.1,11,1353,4989,676,1452,126,705,58,260,.291,.330,.425,.755,,,,,,,,,,,,,baergca01
34,Marcus Jensen,2003-03-26,New York Yankees,MIL,30,-0.5,7,145,343,33,63,6,29,0,50,.184,.287,.289,.575,,,,,,,,,,,,,jensema01
