Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
35,Junior Herndon,2004-03-30,Kansas City Royals,BOS,25,-0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,herndju01
36,Delvin James,2004-03-30,Anaheim Angels,TBD,26,-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,jamesde01
37,Todd Jones,2004-03-30,Cincinnati Reds,BOS,36,-0.9,11,320,16,1,3,0,0,0,0,.188,.188,.250,.438,39,42,4.06,1.450,666,1,184,749.2,743,72,344,672,jonesto02
38,Dave Veres,2004-03-30,San Francisco Giants,CHC,37,1.2,10,589,27,1,7,0,1,0,1,.259,.286,.296,.582,36,35,3.44,1.323,605,0,95,694.0,661,78,257,617,veresda01
39,Ugueth Urbina,2004-03-29,Detroit Tigers,FLA,30,5.3,9,324,53,3,5,0,1,0,3,.094,.143,.094,.237,35,37,3.32,1.208,448,21,206,563.2,445,67,236,661,urbinug01
40,Pablo Ozuna,2004-03-27,Philadelphia Phillies,COL,29,-0.4,3,65,111,11,29,0,5,5,3,.261,.297,.333,.630,,,,,,,,,,,,,ozunapa01
41,Brent Abernathy,2004-03-25,Cleveland Indians,KCR,26,0.2,3,208,801,92,196,7,73,19,53,.245,.295,.327,.623,,,,,,,,,,,,,abernbr01
42,Greg Maddux HOF,2004-03-23,Chicago Cubs,ATL,38,11.0,18,573,1261,88,224,4,64,5,29,.178,.199,.215,.414,289,163,2.89,1.125,575,571,0,3968.2,3625,234,838,2765,maddugr01
43,Fred McGriff HOF,2004-03-23,Tampa Bay Devil Rays,LAD,40,6.1,18,2433,8685,1342,2477,491,1543,72,1296,.285,.378,.511,.889,,,,,,,,,,,,,mcgrifr01
44,Nick Bierbrodt,2004-03-22,Texas Rangers,CLE,26,-1.1,2,7,6,3,4,0,0,0,2,.667,.750,.833,1.583,5,8,6.77,1.802,34,21,0,127.2,164,26,66,102,bierbni01
45,Alberto Castillo,2004-03-22,Kansas City Royals,SFG,34,-0.6,9,343,805,68,176,9,73,2,74,.219,.287,.287,.574,,,,,,,,,,,,,castial01
46,Matt Duff,2004-03-21,Boston Red Sox,STL,29,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,duffma01
47,Ben Petrick,2004-03-21,San Diego Padres,DET,27,0.0,5,240,669,114,172,27,94,5,78,.257,.336,.448,.785,,,,,,,,,,,,,petribe01
48,Tony Womack,2004-03-21,St. Louis Cardinals,CHC,34,0.1,10,1022,4013,595,1083,30,310,309,252,.270,.315,.359,.674,,,,,,,,,,,,,womacto01
49,John Vander Wal,2004-03-17,Cincinnati Reds,MIL,38,1.8,13,1330,2700,372,711,95,426,38,381,.263,.354,.444,.798,,,,,,,,,,,,,vandejo02
50,Kit Pellow,2004-03-16,Colorado Rockies,COL,30,0.4,2,40,81,12,23,2,9,1,9,.284,.372,.432,.804,,,,,,,,,,,,,pelloki01
51,Stubby Clapp,2004-03-15,Cleveland Indians,ATL,31,-0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,clappst01
52,Roy Smith,2004-03-15,Cleveland Indians,OAK,28,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,,smithro03
53,B.J. Surhoff,2004-03-15,Baltimore Orioles,BAL,39,1.7,17,2122,7612,983,2142,175,1069,139,599,.281,.332,.415,.748,,,,,,,,,,,,,surhob.01
54,Orlando Hernandez,2004-03-12,New York Yankees,MON,38,5.2,5,6,19,1,1,0,0,0,0,.053,.053,.053,.105,53,38,4.04,1.232,124,121,1,791.2,707,105,268,619,hernaor01
55,Mike Glavine,2004-03-09,New York Mets,NYM,31,-0.1,1,6,7,0,1,0,0,0,0,.143,.143,.143,.286,,,,,,,,,,,,,glavimi01
56,Mike Thurman,2004-03-09,New York Yankees,NYY,30,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,thurmmi01
57,Chris Donnels,2004-03-08,Colorado Rockies,FLA,38,-0.3,12,,,,,,,,,,,,,,,,,,,,,,,,,donnech01
58,Shawn Estes,2004-03-08,Colorado Rockies,CHC,31,0.3,9,232,387,34,58,4,26,0,13,.150,.183,.209,.392,77,73,4.53,1.523,218,217,0,1303.0,1298,107,687,1007,estessh01
59,Craig House,2004-03-08,Baltimore Orioles,FLA,26,,3,,,,,,,,,,,,,,,,,,,,,,,,,housecr01
60,George Lombard,2004-03-08,Boston Red Sox,TBD,28,-0.6,5,124,329,53,74,7,20,21,22,.225,.279,.343,.622,,,,,,,,,,,,,lombage01
61,Jose Nieves,2004-03-08,San Diego Padres,NYY,29,-0.2,5,,,,,,,,,,,,,,,,,,,,,,,,,nievejo01
62,Jose Rodriguez,2004-03-08,Baltimore Orioles,MON,29,-0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,rodrijo04
63,Hansel Izquierdo,2004-03-04,New York Yankees,MON,27,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,izquiha02
64,Travis Lee,2004-03-02,New York Yankees,TBD,29,5.7,6,849,2974,386,769,92,406,47,379,.259,.341,.412,.753,,,,,,,,,,,,,leetr01
65,Robin Jennings,2004-03-01,Tampa Bay Devil Rays,CIN,32,-0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,jenniro01
66,Pat Mahomes,2004-03-01,Montreal Expos,PIT,33,0.7,11,122,43,6,11,0,4,0,1,.256,.273,.349,.622,42,39,5.47,1.594,308,63,5,709.0,738,116,392,452,mahompa01
67,Bobby Estalella,2004-02-25,Arizona Diamondbacks,COL,29,1.0,8,298,877,123,190,46,143,6,127,.217,.316,.441,.757,,,,,,,,,,,,,estalbo02
68,Dan Reichert,2004-02-25,Milwaukee Brewers,TOR,27,-0.4,5,11,9,0,1,0,0,0,0,.111,.111,.111,.222,21,25,5.55,1.680,124,51,2,395.1,441,43,223,240,reichda01
69,Scott Service,2004-02-25,Arizona Diamondbacks,CIN,37,0.4,11,144,16,0,1,0,1,0,0,.063,.063,.063,.125,19,21,4.89,1.472,317,1,16,396.0,411,51,172,396,servisc01
70,Raul Mondesí,2004-02-24,Pittsburgh Pirates,ARI,33,5.6,11,1450,5539,882,1527,264,828,229,450,.276,.333,.491,.823,,,,,,,,,,,,,mondera01
