Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Steve Woodard,2002-06-08,Philadelphia Phillies,CLE,27,1.9,5,89,126,6,15,0,6,0,7,.119,.172,.143,.314,31,36,4.88,1.384,141,94,0,632.0,739,83,136,438,woodast01
2,Sal Fasano,2002-06-06,Milwaukee Brewers,COL,30,0.9,6,252,668,89,144,30,95,2,51,.216,.301,.391,.691,,,,,,,,,,,,,fasansa01
3,Bryan Rekar,2002-05-17,Colorado Rockies,TBD,30,2.5,7,36,55,4,8,0,1,0,4,.145,.203,.182,.385,25,47,5.51,1.509,129,106,0,648.0,776,98,202,381,rekarbr01
4,Dante Powell,2002-05-16,San Francisco Giants,SFG,28,-0.3,4,70,74,19,20,2,5,3,9,.270,.349,.405,.755,,,,,,,,,,,,,powelda01
5,Wayne Gomes,2002-04-27,Boston Red Sox,SFG,29,0.3,5,289,6,0,1,0,1,0,2,.167,.375,.167,.542,29,21,4.60,1.535,301,0,28,346.2,353,31,179,269,gomeswa01
6,Jose Canseco,2002-04-24,Chicago White Sox,CHW,37,4.5,17,1887,7057,1186,1877,462,1407,200,906,.266,.353,.515,.867,,,,,,,,,,,,,cansejo01
7,Allen McDill,2002-04-18,Baltimore Orioles,BOS,30,-0.1,4,1,0,0,0,0,0,0,0,,,,,0,0,7.79,1.615,38,0,0,34.2,38,8,18,28,mcdilal01
8,Scott Servais,2002-04-16,Colorado Rockies,HOU,35,-0.7,11,820,2493,243,611,63,319,3,183,.245,.306,.375,.681,,,,,,,,,,,,,servasc01
9,Brian McNichol,2002-04-12,New York Yankees,CIN,28,-0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,mcnicbr01
10,Pat Borders,2002-04-08,Seattle Mariners,SEA,39,-0.2,13,1006,3052,267,782,67,327,6,149,.256,.291,.381,.672,,,,,,,,,,,,,bordepa01
11,Billy McMillon,2002-04-08,New York Yankees,OAK,30,0.5,4,151,356,41,91,7,56,4,37,.256,.324,.388,.712,,,,,,,,,,,,,mcmilbi01
12,Bill Pulsipher,2002-04-08,New York Yankees,CHW,28,-1.4,5,65,81,7,10,0,4,0,5,.123,.170,.148,.319,13,19,5.13,1.533,101,46,0,323.0,356,44,139,201,pulsibi01
13,Brian Rose,2002-04-06,Kansas City Royals,TBD,26,0.7,5,18,27,1,1,0,0,0,1,.037,.071,.037,.108,15,23,5.86,1.551,68,54,0,284.1,331,56,110,151,rosebr01
14,Glen Barker,2002-04-03,Boston Red Sox,HOU,31,0.3,3,235,164,53,38,3,18,30,21,.232,.330,.323,.653,,,,,,,,,,,,,barkegl01
15,Jeff D'Amico,2002-04-03,Philadelphia Phillies,KCR,27,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,d'amije02
16,Darren Bragg,2002-04-02,Atlanta Braves,NYY,32,-0.3,8,656,1986,273,512,39,227,48,257,.258,.346,.388,.734,,,,,,,,,,,,,braggda01
17,Mike Judd,2002-04-02,Florida Marlins,TEX,27,-0.7,5,17,9,1,1,0,0,0,1,.111,.200,.111,.311,4,3,7.20,1.733,28,8,0,75.0,91,14,39,61,juddmi01
18,Ruben Rivera,2002-03-31,Texas Rangers,SFG,28,3.4,7,562,1378,214,301,58,185,45,163,.218,.310,.405,.715,,,,,,,,,,,,,riverru01
19,Carlos Almanzar,2002-03-30,Cincinnati Reds,NYY,28,0.0,5,87,4,0,0,0,0,0,0,.000,.000,.000,.000,6,9,5.23,1.477,129,0,0,149.2,170,25,51,116,almanca01
