Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Jerry Blevins,2019-04-28,Atlanta Braves,NYM,35,2.5,12,284,4,0,1,0,1,0,0,.250,.250,.250,.500,29,13,3.52,1.233,564,1,6,463.0,392,45,179,471,blevije01
2,Gio Gonzalez,2019-04-27,Milwaukee Brewers,MIL,33,8.2,11,203,385,15,36,3,17,0,8,.094,.120,.135,.255,127,97,3.69,1.316,313,307,0,1814.0,1628,156,759,1748,gonzagi01
3,Cameron Maybin,2019-04-25,New York Yankees,SEA,32,3.7,12,1039,3464,498,881,60,315,174,328,.254,.322,.368,.690,,,,,,,,,,,,,maybica01
4,Logan Morrison,2019-04-19,New York Yankees,MIN,31,3.1,9,959,3271,408,782,137,421,23,387,.239,.325,.427,.752,,,,,,,,,,,,,morrilo01
5,Jeremy Bleich,2019-04-17,Boston Red Sox,OAK,32,-0.1,1,1,0,0,0,0,0,0,0,,,,,0,0,54.00,6.000,2,0,0,0.1,2,0,0,1,bleicje01
6,Dan Jennings,2019-04-13,Washington Nationals,MIL,32,2.9,7,184,4,1,2,0,0,0,0,.500,.500,.750,1.250,16,18,2.96,1.404,382,1,2,344.0,333,24,150,272,jennida01
7,Edwin Jackson,2019-04-11,Oakland Athletics,OAK,35,0.8,16,240,294,24,49,2,13,1,14,.167,.204,.201,.405,104,123,4.60,1.446,394,305,1,1892.1,1989,226,747,1456,jacksed01
8,Jesmuel Valentín,2019-04-11,Baltimore Orioles,PHI,25,-0.7,1,46,79,8,14,1,6,0,8,.177,.258,.304,.562,0,0,27.00,4.000,1,0,0,1.0,2,1,2,1,valenje01
9,Rob Refsnyder,2019-04-07,Cincinnati Reds,TBR,28,-0.8,4,166,367,46,80,4,22,8,47,.218,.308,.302,.610,,,,,,,,,,,,,refsnro01
10,Jorge De La Rosa,2019-04-05,Colorado Rockies,CHC,38,0.8,15,381,379,22,48,0,27,0,7,.127,.144,.137,.282,104,87,4.58,1.444,430,241,1,1522.2,1510,178,688,1273,rosajo01
