Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Mike Rose,2006-05-25,St. Louis Cardinals,TBD,29,-0.3,2,17,45,3,9,1,1,0,3,.200,.250,.311,.561,,,,,,,,,,,,,rosemi01
2,Jim Brower,2006-05-11,San Diego Padres,ATL,33,1.7,7,300,59,9,12,0,4,0,1,.203,.230,.220,.450,33,31,4.35,1.446,333,28,5,550.2,556,68,240,382,broweji01
3,Tyler Yates,2006-05-03,Atlanta Braves,NYM,28,-0.9,1,21,11,0,1,0,0,0,0,.091,.091,.091,.182,2,4,6.36,1.843,21,7,0,46.2,61,6,25,35,yatesty01
4,Jamal Strong,2006-04-28,Atlanta Braves,SEA,27,0.0,2,28,22,8,5,0,2,0,2,.227,.308,.318,.626,,,,,,,,,,,,,stronja01
5,Michael Tucker,2006-04-26,New York Mets,PHI,35,-1.1,11,1382,4027,622,1036,124,522,112,474,.257,.339,.425,.763,,,,,,,,,,,,,tuckemi01
6,Timo Perez,2006-04-21,St. Louis Cardinals,CHW,31,-1.9,6,551,1550,172,408,25,169,22,83,.263,.302,.374,.676,,,,,,,,,,,,,perezti01
7,Wayne Franklin,2006-04-17,Atlanta Braves,NYY,32,-0.8,6,118,70,3,11,0,5,0,3,.157,.189,.171,.361,14,16,5.51,1.541,132,40,0,315.1,324,55,162,213,frankwa01
8,Mike Venafro,2006-04-14,Cincinnati Reds,ARI,32,0.1,6,44,0,0,0,0,0,0,0,,,,,14,10,4.11,1.410,300,0,5,249.2,261,15,91,129,venafmi01
9,Mike Bacsik,2006-04-13,Arizona Diamondbacks,PHI,28,-0.5,4,15,21,0,2,0,2,0,0,.095,.095,.143,.238,5,5,5.88,1.541,22,15,0,98.0,120,15,31,52,bacsimi02
10,Jason Conti,2006-04-13,Pittsburgh Pirates,TEX,31,-0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,contija01
11,Nate Cornejo,2006-04-11,Chicago White Sox,DET,26,0.8,4,,,,,,,,,,,,,,,,,,,,,,,,,cornena01
12,Steve Colyer,2006-04-10,Colorado Rockies,NYM,27,-0.1,2,17,0,0,0,0,0,0,1,,1.000,,,1,0,5.05,1.703,54,0,0,51.2,55,8,33,47,colyest01
13,Erubiel Durazo,2006-04-07,Texas Rangers,OAK,32,4.8,7,624,1948,333,547,94,330,7,307,.281,.381,.487,.868,,,,,,,,,,,,,durazer01
14,John Ennis,2006-04-06,Detroit Tigers,DET,26,-0.5,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000,0,0,7.65,1.650,13,1,1,20.0,25,3,8,14,ennisjo01
15,Carlos Hernández,2006-04-06,Houston Astros,HOU,26,-0.7,4,,,,,,,,,,,,,,,,,,,,,,,,,hernaca03
16,Darrell May,2006-04-01,Cincinnati Reds,NYY,34,5.3,7,33,26,1,2,0,0,0,1,.077,.111,.077,.188,26,43,5.16,1.450,161,97,0,660.2,746,123,212,414,mayda02
17,Brian Meadows,2006-04-01,Tampa Bay Devil Rays,PIT,30,0.5,8,252,180,12,21,0,8,0,8,.117,.153,.133,.286,44,56,5.04,1.459,283,122,2,891.0,1056,125,244,419,meadobr01
18,John Wasdin,2006-04-01,Texas Rangers,TEX,33,0.2,10,50,15,2,3,0,1,0,1,.200,.250,.267,.517,36,36,5.26,1.398,307,60,7,743.2,809,128,231,501,wasdijo01
19,Ernie Young,2006-04-01,Chicago White Sox,CLE,36,-0.1,11,,,,,,,,,,,,,,,,,,,,,,,,,younger02
20,Joe McEwing,2006-03-30,Houston Astros,KCR,33,-1.1,8,747,1761,217,443,25,158,33,113,.252,.303,.356,.659,,,,,,,,,,,,,mcewijo01
21,Cody Ransom,2006-03-30,Houston Astros,CHC,30,-0.2,4,114,105,23,25,2,13,2,8,.238,.298,.362,.660,,,,,,,,,,,,,ransoco01
22,Jim Rushford,2006-03-29,Philadelphia Phillies,PHI,32,,3,,,,,,,,,,,,,,,,,,,,,,,,,rushfji01
23,Bryan Corey,2006-03-28,Texas Rangers,FLA,32,,2,4,0,0,0,0,0,0,0,,,,,0,0,7.20,1.600,4,0,0,5.0,6,1,2,1,coreybr01
24,Tony Graffanino,2006-03-28,Kansas City Royals,BOS,34,4.7,10,759,2100,339,563,42,213,48,205,.268,.336,.394,.731,,,,,,,,,,,,,graffto01
25,Felix Heredia,2006-03-28,Cleveland Indians,NYM,31,1.5,10,386,15,0,4,0,1,0,0,.267,.267,.267,.533,28,19,4.42,1.484,511,2,6,458.1,448,45,232,351,heredfe01
26,Terrence Long,2006-03-27,Cincinnati Reds,KCR,30,1.0,7,878,3032,422,818,69,374,27,223,.270,.319,.406,.725,,,,,,,,,,,,,longte01
27,Alex Sanchez,2006-03-25,Cincinnati Reds,SFG,29,0.0,5,427,1527,193,452,6,111,122,76,.296,.330,.372,.702,,,,,,,,,,,,,sanchal03
28,Michel Hernandez,2006-03-24,St. Louis Cardinals,SDP,27,0.0,1,5,4,0,1,0,0,0,1,.250,.400,.250,.650,,,,,,,,,,,,,hernami01
