Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Brent Abernathy,2007-04-13,Washington Nationals,MIL,29,-0.2,5,,,,,,,,,,,,,,,,,,,,,,,,,abernbr01
2,Randy Choate,2007-04-13,Arizona Diamondbacks,ARI,31,0.3,7,113,5,0,0,0,0,0,0,.000,.000,.000,.000,5,7,4.64,1.461,194,0,0,165.0,154,5,87,129,choatra01
3,Kyle Denney,2007-04-13,Detroit Tigers,WSN,29,-0.6,2,,,,,,,,,,,,,,,,,,,,,,,,,denneky01
4,Yamid Haad,2007-04-09,Cleveland Indians,SFG,29,-0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,haadya01
5,Jamal Strong,2007-04-09,New York Yankees,ATL,28,0.1,3,,,,,,,,,,,,,,,,,,,,,,,,,stronja01
6,Brandon Watson,2007-04-09,Washington Nationals,CIN,25,-0.5,2,35,68,8,12,1,5,1,5,.176,.233,.265,.498,,,,,,,,,,,,,watsobr01
7,Jorge Vasquez,2007-04-06,Texas Rangers,PIT,28,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,vasqujo01
8,Bruce Chen,2007-04-01,Texas Rangers,BAL,30,3.2,9,149,115,4,15,0,3,0,2,.130,.145,.139,.284,35,37,4.60,1.386,237,112,0,797.0,797,151,308,635,chenbr01
9,Luis Terrero,2007-03-30,Chicago White Sox,BAL,27,-0.9,4,182,434,48,102,9,40,13,35,.235,.311,.350,.661,,,,,,,,,,,,,terrelu01
10,Joe Thurston,2007-03-30,Philadelphia Phillies,PHI,27,-0.2,4,55,58,7,15,0,2,0,2,.259,.286,.345,.631,,,,,,,,,,,,,thursjo01
11,Todd Walker,2007-03-30,Oakland Athletics,SDP,34,3.1,11,1270,4506,642,1303,107,541,66,419,.289,.349,.437,.785,,,,,,,,,,,,,walketo04
12,Mike Koplove,2007-03-29,Cleveland Indians,ARI,30,0.8,6,209,5,0,0,0,0,0,0,.000,.000,.000,.000,15,7,3.76,1.311,217,0,2,248.2,225,19,101,171,koplomi01
13,Ricky Ledee,2007-03-29,New York Mets,NYM,33,1.7,9,838,1994,284,486,62,312,28,239,.244,.325,.413,.738,,,,,,,,,,,,,ledeeri01
14,Tomas Perez,2007-03-29,Los Angeles Dodgers,TBD,33,-1.2,11,781,1886,205,453,24,180,6,131,.240,.291,.343,.634,,,,,,,,,,,,,perezto03
15,Russ Johnson,2007-03-28,Pittsburgh Pirates,NYY,34,-0.2,9,,,,,,,,,,,,,,,,,,,,,,,,,johnsru01
16,Alberto Castillo,2007-03-27,Baltimore Orioles,WSN,37,1.1,11,407,995,93,221,11,98,3,100,.222,.295,.296,.591,,,,,,,,,,,,,castial01
17,Danny Ardoin,2007-03-26,Houston Astros,BAL,32,0.2,4,141,372,47,75,7,31,1,40,.202,.298,.306,.605,,,,,,,,,,,,,ardoida01
18,Ronnie Belliard,2007-03-24,Washington Nationals,STL,32,9.6,9,1049,3812,528,1036,80,439,32,379,.272,.338,.411,.749,,,,,,,,,,,,,belliro01
19,Colby Lewis,2007-03-24,Oakland Athletics,DET,27,0.4,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000,12,13,6.76,1.870,46,33,0,179.2,226,29,110,132,lewisco01
20,Brandon Puffer,2007-03-23,Texas Rangers,OAK,31,-0.4,4,,,,,,,,,,,,,,,,,,,,,,,,,puffebr01
21,Fernando Tatís,2007-03-23,New York Mets,BAL,32,0.1,8,691,2373,346,618,92,347,43,264,.260,.344,.440,.784,,,,,,,,,,,,,tatisfe01
22,Steve Trachsel,2007-03-23,Baltimore Orioles,NYM,36,4.0,14,341,639,49,105,3,40,1,26,.164,.199,.208,.407,134,143,4.28,1.388,381,380,0,2303.1,2358,319,840,1519,trachst01
23,Jorge De Paula,2007-03-22,Colorado Rockies,NYY,28,-0.1,3,,,,,,,,,,,,,,,,,,,,,,,,,depaujo01
24,Mark Redman,2007-03-10,Atlanta Braves,KCR,33,2.1,8,65,129,2,8,0,3,0,5,.062,.097,.062,.159,64,76,4.65,1.405,198,186,0,1152.0,1244,128,374,700,redmama01
25,Luis Ordaz,2007-03-08,Pittsburgh Pirates,TBD,31,-0.1,7,206,440,51,96,0,30,12,34,.218,.274,.248,.522,,,,,,,,,,,,,ordazlu01
26,Matthew Cepicky,2007-03-07,Baltimore Orioles,FLA,29,-0.7,5,89,185,12,39,4,21,1,7,.211,.240,.335,.575,,,,,,,,,,,,,cepicma01
27,Matt Kinney,2007-03-03,San Francisco Giants,SFG,30,-0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,kinnema01
28,Andres Torres,2007-03-02,Detroit Tigers,MIN,29,0.0,4,89,257,33,54,1,13,9,17,.210,.258,.276,.534,,,,,,,,,,,,,torrean02
29,Sandy Alomar,2007-03-01,New York Mets,CHW,41,-0.4,19,1369,4508,519,1233,112,588,25,212,.274,.310,.407,.717,,,,,,,,,,,,,alomasa02
30,Dustin Hermanson,2007-03-01,Cincinnati Reds,CHW,34,3.2,12,274,322,14,30,2,10,0,20,.093,.151,.127,.278,73,78,4.21,1.360,357,180,56,1283.0,1285,160,460,874,hermadu01
31,Tim Olson,2007-03-01,Colorado Rockies,TOR,28,-0.4,2,,,,,,,,,,,,,,,,,,,,,,,,,olsonti01
32,Aaron Sele,2007-03-01,New York Mets,LAD,37,0.9,14,41,54,5,9,0,1,0,2,.167,.196,.204,.400,145,110,4.59,1.482,370,352,0,2099.1,2335,220,777,1378,seleaa01
33,Mike DeJean,2007-02-28,Colorado Rockies,COL,36,0.9,10,514,17,0,1,0,0,0,0,.059,.059,.118,.176,30,33,4.30,1.510,565,1,52,623.1,649,59,292,446,dejeami01
34,Steve Finley,2007-02-24,Colorado Rockies,SFG,42,3.6,18,2540,9303,1434,2531,303,1165,320,836,.272,.333,.444,.777,,,,,,,,,,,,,finlest01
35,Luke Allen,2007-02-23,Los Angeles Dodgers,SDP,28,,4,,,,,,,,,,,,,,,,,,,,,,,,,allenlu01
36,Bret Prinz,2007-02-23,Chicago White Sox,COL,30,0.2,5,68,0,0,0,0,0,0,0,,,,,5,4,4.77,1.613,98,0,9,88.2,95,12,48,63,prinzbr01
37,Jason Alfaro,2007-02-22,New York Mets,CLE,29,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,,alfarja01
38,Wiki Gonzalez,2007-02-21,Chicago White Sox,WSN,33,0.0,7,295,836,75,200,17,103,3,78,.239,.310,.356,.666,,,,,,,,,,,,,gonzawi01
39,Timo Perez,2007-02-21,Detroit Tigers,STL,32,-1.5,7,574,1581,175,414,26,172,22,86,.262,.301,.373,.674,,,,,,,,,,,,,perezti01
40,Matt Riley,2007-02-20,Los Angeles Dodgers,TEX,27,-0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,rileyma01
41,Matt Herges,2007-02-18,Colorado Rockies,FLA,37,-1.2,8,424,27,0,6,0,1,0,1,.222,.250,.222,.472,32,29,3.89,1.469,444,4,34,543.1,588,52,210,371,hergema01
42,Kelly Stinnett,2007-02-18,Los Angeles Dodgers,NYM,37,0.3,13,708,1951,221,463,64,225,10,191,.237,.318,.385,.703,,,,,,,,,,,,,stinnke01
43,Pete LaForest,2007-02-16,San Diego Padres,SDP,29,-0.2,2,44,112,5,19,1,10,0,7,.170,.223,.241,.464,,,,,,,,,,,,,laforpe01
44,Dennis Tankersley,2007-02-16,Detroit Tigers,STL,28,-0.4,4,,,,,,,,,,,,,,,,,,,,,,,,,tankede01
45,Barry Bonds,2007-02-15,San Francisco Giants,SFG,42,15.2,21,2860,9507,2152,2841,734,1930,509,2426,.299,.443,.608,1.051,,,,,,,,,,,,,bondsba01
46,Pete Walker,2007-02-15,Toronto Blue Jays,TOR,38,1.0,8,29,1,0,0,0,0,0,0,.000,.000,.000,.000,20,14,4.48,1.459,144,31,4,339.1,362,48,133,191,walkepe01
47,J.D. Drew,2007-02-14,Boston Red Sox,LAD,31,15.5,9,960,3161,605,905,162,509,74,529,.286,.393,.512,.904,,,,,,,,,,,,,drewj.01
48,Dmitri Young,2007-02-14,Washington Nationals,DET,33,3.0,11,1178,4152,576,1200,154,599,25,335,.289,.346,.476,.822,,,,,,,,,,,,,youngdm01
49,Chan Ho Park,2007-02-13,New York Mets,SDP,34,0.5,13,253,405,26,74,2,30,0,17,.183,.215,.240,.454,113,87,4.37,1.397,323,274,0,1746.2,1620,202,820,1507,parkch01
50,Ron Villone,2007-02-13,New York Yankees,NYY,37,1.3,12,256,169,7,22,1,7,0,1,.130,.140,.178,.318,55,57,4.78,1.493,543,93,6,1027.0,980,121,553,817,villoro01
51,Randy Williams,2007-02-13,Texas Rangers,COL,31,-0.5,2,32,1,0,0,0,0,0,0,.000,.000,.000,.000,3,1,6.68,1.774,38,0,0,31.0,36,5,19,25,willira01
52,Trent Durrington,2007-02-12,Cleveland Indians,BOS,31,-0.3,7,,,,,,,,,,,,,,,,,,,,,,,,,durritr01
53,Matt Ginter,2007-02-12,St. Louis Cardinals,PIT,29,0.4,6,15,14,1,3,0,1,0,2,.214,.313,.286,.598,4,4,5.46,1.498,92,15,1,211.0,244,28,72,120,gintema01
54,Eduardo Perez,2007-02-12,Chicago White Sox,SEA,37,-0.2,13,754,1800,238,445,79,294,19,194,.247,.326,.431,.757,,,,,,,,,,,,,perezed01
55,Danny Kolb,2007-02-11,Pittsburgh Pirates,MIL,32,0.1,8,214,1,0,0,0,0,0,0,.000,.000,.000,.000,11,23,4.31,1.505,287,0,73,283.2,295,19,132,175,kolbda01
56,Shannon Stewart,2007-02-10,Oakland Athletics,MIN,33,2.3,12,1188,4823,760,1444,102,518,182,435,.299,.364,.439,.802,,,,,,,,,,,,,stewash01
57,Chris Truby,2007-02-10,Pittsburgh Pirates,PIT,33,,6,,,,,,,,,,,,,,,,,,,,,,,,,trubych01
58,Alexis Gomez,2007-02-08,Colorado Rockies,DET,28,-0.5,4,89,158,20,41,1,11,4,10,.259,.308,.342,.649,,,,,,,,,,,,,gomezal01
59,Joe Mays,2007-02-08,Los Angeles Dodgers,CIN,31,-2.4,7,17,24,1,6,0,3,0,3,.250,.333,.333,.667,48,70,5.05,1.463,206,156,0,997.0,1130,138,329,512,maysjo01
60,Mark Corey,2007-02-07,Pittsburgh Pirates,NYY,32,0.1,5,,,,,,,,,,,,,,,,,,,,,,,,,coreyma02
61,Frank Menechino,2007-02-07,Colorado Rockies,NYY,36,1.6,7,,,,,,,,,,,,,,,,,,,,,,,,,menecfr01
62,Junior Spivey,2007-02-07,Chicago White Sox,STL,32,3.2,5,,,,,,,,,,,,,,,,,,,,,,,,,spiveju01
63,Shawn Wooten,2007-02-07,San Diego Padres,MIN,34,-0.6,6,,,,,,,,,,,,,,,,,,,,,,,,,wootesh01
64,Juan Melo,2007-02-06,Washington Nationals,SFG,30,,6,,,,,,,,,,,,,,,,,,,,,,,,,meloju01
65,Eddie Guardado,2007-02-05,Cincinnati Reds,CIN,36,2.8,14,55,1,0,0,0,0,0,0,.000,.000,.000,.000,41,55,4.26,1.314,781,25,183,836.1,789,124,310,737,guarded01
66,Alberto Reyes,2007-02-05,Tampa Bay Devil Rays,TBD,37,2.6,11,190,12,2,3,0,0,0,1,.250,.308,.250,.558,19,10,3.60,1.257,297,2,6,345.1,270,38,164,333,reyesal01
67,David Wells,2007-02-05,San Diego Padres,SDP,44,6.9,20,57,125,5,15,0,4,0,3,.120,.147,.128,.275,230,148,4.07,1.253,631,460,13,3281.2,3434,385,677,2119,wellsda01
68,Michael Tejera,2007-02-04,Pittsburgh Pirates,SFG,30,-0.7,7,,,,,,,,,,,,,,,,,,,,,,,,,tejermi01
69,Alex Prieto,2007-02-02,Boston Red Sox,KCR,31,-0.4,3,,,,,,,,,,,,,,,,,,,,,,,,,prietal01
70,Scott Sauerbeck,2007-02-02,Houston Astros,OAK,35,0.0,7,335,7,0,0,0,0,0,0,.000,.000,.000,.000,20,17,3.82,1.519,471,0,5,386.1,344,31,243,389,sauersc01
71,Rick White,2007-02-02,Houston Astros,PHI,38,-0.9,11,362,42,1,4,0,1,0,0,.095,.116,.119,.235,41,53,4.31,1.400,584,18,16,824.0,883,87,271,524,whiteri01
72,Tony Armas,2007-02-01,Pittsburgh Pirates,WSN,29,0.7,8,140,239,6,23,0,8,0,4,.096,.111,.109,.220,48,60,4.45,1.415,151,151,0,820.1,769,102,392,601,armasto02
73,Larry Bigbie,2007-02-01,Los Angeles Dodgers,STL,29,1.6,6,392,1227,164,328,31,137,25,119,.267,.331,.395,.726,,,,,,,,,,,,,bigbila01
74,Cliff Floyd,2007-02-01,Chicago Cubs,NYM,34,5.0,14,1423,4775,752,1331,213,781,147,537,.279,.359,.488,.847,,,,,,,,,,,,,floydcl01
