Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Scott Sanders,2000-06-20,Florida Marlins,CHC,31,-1.4,7,186,129,4,25,0,8,1,5,.194,.224,.240,.464,34,45,4.86,1.394,235,88,5,681.2,674,93,276,632,sandesc02
2,Julio Santana,2000-06-18,Montreal Expos,BOS,27,-0.9,3,8,7,0,2,0,1,0,0,.286,.286,.286,.571,10,16,5.72,1.643,87,38,0,305.0,358,44,143,159,santaju01
3,Hector Ramirez,2000-06-08,Baltimore Orioles,MIL,28,0.5,1,15,3,0,0,0,0,0,0,.000,.000,.000,.000,1,2,3.43,1.429,15,0,0,21.0,19,1,11,9,ramirhe01
4,Dan Smith,2000-06-02,Boston Red Sox,MON,24,-0.5,1,19,24,3,2,0,1,0,3,.083,.185,.083,.269,4,9,6.02,1.595,20,17,0,89.2,104,12,39,72,smithda07
5,Jed Hansen,2000-05-23,New York Mets,SDP,27,-0.3,3,87,176,27,45,4,19,3,23,.256,.342,.375,.717,,,,,,,,,,,,,hanseje01
6,Rich Becker,2000-05-10,Detroit Tigers,OAK,28,3.7,7,674,1942,286,501,37,204,64,283,.258,.354,.372,.726,,,,,,,,,,,,,beckeri01
7,Mark Lewis,2000-04-26,Baltimore Orioles,CIN,30,-1.7,9,814,2600,299,689,46,282,22,183,.265,.314,.381,.695,,,,,,,,,,,,,lewisma01
8,Brian Hunter,2000-04-21,Philadelphia Phillies,ATL,32,0.5,8,612,1415,173,334,59,236,4,121,.236,.296,.431,.728,,,,,,,,,,,,,huntebr01
9,Dwight Gooden,2000-04-13,Tampa Bay Devil Rays,CLE,35,3.2,15,315,738,60,145,8,67,1,14,.196,.213,.263,.476,188,107,3.46,1.245,403,396,1,2695.2,2445,187,910,2238,goodedw01
10,Johnny Ruffin,2000-04-10,Arizona Diamondbacks,LAD,28,,4,131,17,1,3,0,0,1,0,.176,.176,.176,.353,10,6,3.88,1.385,131,0,3,183.1,168,21,86,154,ruffijo01
11,Norm Charlton,2000-04-09,Cincinnati Reds,TBD,37,-2.3,11,291,87,6,8,0,1,0,3,.092,.151,.115,.265,47,52,3.67,1.353,559,37,96,848.2,756,65,392,759,charlno01
