Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Shane Nance,2005-06-19,Kansas City Royals,ARI,27,-0.5,3,49,3,0,1,0,1,0,0,.333,.333,.333,.667,1,3,5.02,1.930,49,0,0,43.0,57,8,26,39,nancesh01
2,Amaury Telemaco,2005-06-14,Philadelphia Phillies,PHI,31,0.9,8,205,116,6,14,0,3,0,6,.121,.163,.172,.335,23,34,4.96,1.376,212,64,0,550.1,567,90,190,356,telemam01
3,Scott Stewart,2005-06-09,San Diego Padres,LAD,29,0.2,4,177,4,0,0,0,0,0,0,.000,.000,.000,.000,11,6,3.99,1.367,214,0,20,180.2,187,19,60,161,stewasc01
4,Cody Ransom,2005-05-27,Chicago Cubs,SFG,29,-0.1,4,114,105,23,25,2,13,2,8,.238,.298,.362,.660,,,,,,,,,,,,,ransoco01
5,Scott Strickland,2005-05-26,Houston Astros,NYM,29,1.3,5,223,6,0,0,0,0,0,0,.000,.000,.000,.000,12,21,3.28,1.305,231,0,20,236.0,197,23,111,241,stricsc02
6,Brian Sweeney,2005-05-26,San Diego Padres,SDP,31,0.1,2,6,4,0,0,0,0,0,0,.000,.000,.000,.000,1,0,4.18,1.268,12,2,0,23.2,27,1,3,17,sweenbr01
7,Darren Oliver,2005-05-07,Chicago Cubs,HOU,34,0.9,12,115,202,15,46,1,18,0,7,.228,.264,.292,.556,87,79,5.07,1.544,306,228,2,1407.0,1591,172,582,834,oliveda02
8,Dan Wright,2005-05-06,Seattle Mariners,CHW,27,-1.2,4,3,6,0,0,0,0,0,0,.000,.000,.000,.000,20,26,5.65,1.527,70,64,1,366.2,393,65,167,225,wrighda02
9,Phil Norton,2005-04-29,Chicago Cubs,CIN,29,0.0,3,88,4,1,2,0,0,0,0,.500,.500,.500,1.000,2,6,5.07,1.603,92,2,0,92.1,94,10,54,61,nortoph01
10,Shane Halter,2005-04-28,Chicago Cubs,ANA,35,1.8,8,690,1899,201,468,45,197,17,146,.246,.303,.385,.688,,,,,,,,,,,,,haltesh01
11,Dave Hansen,2005-04-28,Seattle Mariners,SDP,36,0.2,14,1170,1718,182,453,33,211,4,274,.264,.365,.374,.739,,,,,,,,,,,,,hanseda01
12,Gabe White,2005-04-26,St. Louis Cardinals,CIN,33,0.5,10,417,38,1,4,1,3,0,1,.105,.128,.184,.312,34,26,4.55,1.213,466,15,17,562.1,542,95,140,453,whitega01
