Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Allen Watson,1999-06-18,Seattle Mariners,ANA,28,1.9,6,91,165,13,42,0,19,0,9,.255,.293,.339,.632,45,52,5.04,1.482,151,133,0,793.0,877,120,298,505,watsoal01
2,Rafael Bournigal,1999-04-27,Seattle Mariners,OAK,33,0.3,6,310,837,88,208,2,71,12,52,.249,.300,.309,.609,,,,,,,,,,,,,bournra01
3,Frank Castillo,1999-04-20,Pittsburgh Pirates,DET,30,-2.6,8,181,327,7,36,0,13,0,13,.110,.144,.110,.254,56,74,4.63,1.373,207,194,1,1152.0,1231,139,351,792,castifr01
4,Pedro Valdes,1999-04-18,Texas Rangers,CHC,26,0.0,2,23,31,3,6,0,3,0,2,.194,.242,.323,.565,,,,,,,,,,,,,valdepe01
5,Robinson Checo,1999-04-16,Los Angeles Dodgers,BOS,27,0.1,2,0,0,0,0,0,0,0,0,,,,,1,3,5.57,1.476,7,4,0,21.0,23,3,8,19,checoro01
6,Pat Kelly,1999-04-15,Toronto Blue Jays,STL,31,-0.2,8,644,1872,236,464,30,197,61,135,.248,.307,.362,.669,,,,,,,,,,,,,kellypa03
7,Domingo Cedeno,1999-04-11,Seattle Mariners,TEX,30,0.2,6,376,1111,151,287,12,108,13,73,.258,.305,.357,.662,,,,,,,,,,,,,cedendo01
8,Walt McKeel,1999-04-10,Detroit Tigers,BOS,27,-0.1,2,6,3,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,,mckeewa01
9,Reid Cornelius,1999-04-09,Florida Marlins,FLA,29,,1,18,20,0,2,0,0,0,0,.100,.100,.100,.200,3,7,5.54,1.575,18,10,0,66.2,75,11,30,39,cornere01
10,Brad Clontz,1999-04-08,Pittsburgh Pirates,NYM,28,-1.2,4,209,7,1,0,0,0,0,2,.000,.222,.000,.222,21,5,4.68,1.378,211,0,6,221.1,220,23,85,162,clontbr01
11,Greg Hansell,1999-04-07,Pittsburgh Pirates,KCR,28,-0.2,3,20,0,0,0,0,0,0,0,,,,,3,1,6.22,1.576,73,0,3,98.1,117,20,38,64,hansegr01
12,Chris Haney,1999-04-06,Cleveland Indians,CHC,30,1.4,8,34,36,2,4,0,4,0,0,.111,.111,.111,.222,38,50,5.13,1.469,158,121,0,753.1,848,89,259,405,haneych01
13,James Mouton,1999-04-05,Montreal Expos,SDP,30,-1.7,5,466,1151,157,283,12,107,83,115,.246,.318,.334,.652,,,,,,,,,,,,,moutoja01
14,Darryl Strawberry,1999-04-05,New York Yankees,NYY,37,1.4,16,1559,5369,888,1385,332,994,219,799,.258,.355,.504,.859,,,,,,,,,,,,,strawda01
15,Mark Langston,1999-04-04,Cleveland Indians,SDP,38,1.4,15,48,90,5,13,0,5,0,2,.144,.161,.178,.339,178,156,3.94,1.349,432,423,0,2901.0,2654,302,1260,2421,langsma01
16,Tony Fossas,1999-04-03,New York Yankees,TEX,41,-0.5,11,201,1,0,0,0,0,0,0,.000,.000,.000,.000,17,24,3.82,1.464,562,0,7,414.2,428,38,179,324,fossato01
17,Izzy Molina,1999-03-30,New York Yankees,OAK,28,-0.7,3,68,138,7,28,3,8,0,4,.203,.225,.319,.544,,,,,,,,,,,,,moliniz01
18,Tim Laker,1999-03-26,Pittsburgh Pirates,PIT,29,-0.3,5,159,316,31,70,4,34,3,22,.222,.273,.316,.590,,,,,,,,,,,,,lakerti01
19,Tony Tarasco,1999-03-26,New York Yankees,CIN,28,0.0,6,383,879,131,212,28,100,36,95,.241,.316,.392,.709,,,,,,,,,,,,,tarasto01
20,Orel Hershiser,1999-03-25,New York Mets,SFG,40,6.3,16,390,741,62,154,0,47,7,26,.208,.238,.251,.489,190,133,3.33,1.243,468,428,5,2926.2,2722,216,916,1912,hershor01
21,Marc Ronan,1999-03-25,Philadelphia Phillies,HOU,29,,5,,,,,,,,,,,,,,,,,,,,,,,,,ronanma01
22,Carlos Baerga,1999-03-23,Cincinnati Reds,NYM,30,-0.5,9,1225,4670,649,1367,121,676,50,243,.293,.331,.430,.761,,,,,,,,,,,,,baergca01
23,Keith Glauber,1999-03-23,Cincinnati Reds,CIN,27,0.2,1,3,2,0,0,0,0,0,0,.000,.000,.000,.000,0,0,2.35,0.913,3,0,0,7.2,6,0,1,4,glaubke01
24,Melvin Nieves,1999-03-20,,CIN,27,-1.0,7,458,1228,163,284,63,187,4,136,.231,.314,.438,.752,,,,,,,,,,,,,nieveme01
25,Jose Mercedes,1999-03-19,San Diego Padres,MIL,28,1.2,5,9,13,0,1,0,0,0,0,.077,.143,.077,.220,11,15,4.54,1.354,71,28,0,246.0,242,40,91,114,mercejo02
26,Allen McDill,1999-03-17,Texas Rangers,KCR,27,-0.5,2,0,0,0,0,0,0,0,0,,,,,0,0,11.70,2.200,10,0,0,10.0,12,4,10,5,mcdilal01
27,Norberto Martin,1999-03-14,Toronto Blue Jays,ANA,32,0.0,6,345,853,113,239,7,89,23,31,.280,.303,.354,.658,,,,,,,,,,,,,martino01
28,Ozzie Timmons,1999-03-12,Seattle Mariners,CIN,28,-0.1,3,148,320,49,76,15,44,4,28,.238,.300,.431,.731,,,,,,,,,,,,,timmooz01
29,Ramon Martinez,1999-03-11,Boston Red Sox,LAD,31,6.5,11,269,586,32,90,1,33,0,7,.154,.164,.183,.347,123,77,3.45,1.283,266,262,0,1731.2,1518,148,704,1314,martira02
30,Jim Bullinger,1999-03-06,Los Angeles Dodgers,SEA,33,-3.5,7,185,165,14,31,4,19,1,13,.188,.249,.315,.564,34,41,5.06,1.491,186,89,11,642.0,651,65,306,392,bulliji01
31,Rick Wilkins,1999-03-06,Los Angeles Dodgers,NYM,32,1.6,8,701,2077,274,508,80,266,9,274,.245,.333,.412,.745,,,,,,,,,,,,,wilkiri01
32,Jacob Brumfield,1999-03-05,Los Angeles Dodgers,FLA,34,0.2,6,488,1388,231,359,30,142,73,118,.259,.320,.398,.718,,,,,,,,,,,,,brumfja01
33,Johnny Ruffin,1999-03-01,Kansas City Royals,MIL,27,-0.2,4,131,17,1,3,0,0,1,0,.176,.176,.176,.353,10,6,3.88,1.385,131,0,3,183.1,168,21,86,154,ruffijo01
34,Rich Garces,1999-02-28,Boston Red Sox,BOS,28,1.0,6,21,1,0,0,0,0,0,0,.000,.000,.000,.000,4,6,3.99,1.533,105,0,3,137.2,125,14,86,127,garceri01
35,Pat Borders,1999-02-26,Cleveland Indians,CLE,36,0.0,11,989,3012,263,770,66,321,6,148,.256,.291,.380,.671,,,,,,,,,,,,,bordepa01
36,Curtis Pride,1999-02-24,Kansas City Royals,ATL,30,1.7,5,304,610,106,157,17,67,25,69,.257,.336,.425,.760,,,,,,,,,,,,,pridecu01
37,Brian Hunter,1999-02-23,Atlanta Braves,CHW,31,0.6,7,498,1234,145,289,53,206,4,90,.234,.285,.432,.717,,,,,,,,,,,,,huntebr01
38,Pat Meares,1999-02-20,Pittsburgh Pirates,MIN,30,2.9,6,742,2464,304,653,41,303,42,95,.265,.301,.381,.682,,,,,,,,,,,,,mearepa01
