Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
834,Oliver Pérez,21,TOT,NL,24,24,0,126.2,17,1,15,1,0,.941,,,1,9,,1.14,0.67,P,perezol01
835,Timo Perez,28,NYM,NL,104,85,57,744.1,188,180,6,2,1,.989,3,5,4,6,,2.25,1.79,OF,perezti01
836,Tomas Perez,29,PHI,NL,94,60,55,623.1,287,128,150,9,31,.969,-1,-2,-7,-13,,4.01,2.87,3B-2B-1B-SS,perezto03
837,Herbert Perry,33,TEX,AL,7,5,1,40.0,25,20,5,0,3,1.000,1,15,0,0,,5.63,3.57,1B-3B,perryhe01
838,Robert Person,33,BOS,AL,7,0,0,11.2,2,0,2,0,0,1.000,,,1,17,,1.54,0.29,P,persoro01
839,Ben Petrick,26,TOT,MLB,43,28,19,282.0,96,91,3,2,1,.979,0,2,3,12,,3.00,2.19,OF-C-1B,petribe01
840,Andy Pettitte,31,NYY,AL,33,33,1,208.1,42,7,29,6,1,.857,,,-2,-2,,1.56,1.09,P,pettian01
841,Josh Phelps,25,TOR,AL,8,8,3,61.0,61,55,4,2,2,.967,-1,-24,-1,-20,,8.70,7.38,1B,phelpjo01
842,Tommy Phelps,29,FLA,NL,27,7,0,63.0,9,3,6,0,0,1.000,,,0,0,,1.29,0.33,P,phelpto01
843,Brandon Phillips,22,CLE,AL,109,104,96,925.1,572,236,325,11,76,.981,5,7,5,6,,5.46,5.15,2B,phillbr01
844,Jason Phillips,29,CLE,AL,3,0,0,5.0,3,2,1,0,0,1.000,,,0,0,,5.40,1.00,P,phillja03
845,Jason Phillips,26,NYM,NL,109,108,88,911.2,873,815,50,8,72,.991,-6,-7,-4,-6,,8.54,7.65,1B-C,phillja04
846,Adam Piatt,27,TOT,AL,46,35,22,302.0,59,56,2,1,2,.983,2,7,-2,-7,,1.73,1.26,OF-1B,piattad01
847,Mike Piazza,34,NYM,NL,64,63,48,533.1,387,349,31,7,7,.982,-1,-2,1,2,,6.41,5.85,C-1B,piazzmi01
848,Juan Pierre,25,FLA,NL,161,161,159,1433.1,411,402,6,3,5,.993,-12,-10,16,13,,2.56,2.53,OF,pierrju01
849,A.J. Pierzynski,26,MIN,AL,135,131,120,1165.2,894,843,45,6,6,.993,-1,-1,6,6,,6.86,6.58,C,pierza.01
850,Joel Pineiro,24,SEA,AL,32,32,3,211.2,45,20,24,1,2,.978,,,3,3,,1.87,1.38,P,pineijo01
851,Dan Plesac,41,PHI,NL,58,0,0,33.1,5,0,5,0,0,1.000,,,0,0,,1.35,0.09,P,plesada01
852,Scott Podsednik,27,MIL,NL,139,130,128,1191.0,353,345,5,3,1,.992,21,21,-16,-16,,2.64,2.52,OF,podsesc01
853,Placido Polanco,27,PHI,NL,120,120,112,1052.2,567,223,338,6,74,.989,11,12,15,17,,4.80,4.68,2B-3B,polanpl01
854,Cliff Politte,29,TOR,AL,54,0,0,49.1,3,2,1,0,0,1.000,,,-1,-4,,0.55,0.06,P,politcl01
855,Sidney Ponson,26,TOT,ZZ,31,31,4,216.0,50,21,28,1,5,.980,,,0,0,,2.04,1.58,P,ponsosi01
856,Colin Porter,27,HOU,NL,14,6,4,71.0,17,17,0,0,0,1.000,0,5,6,101,,2.15,1.21,OF,porteco01
857,Mike Porzio,30,CHW,AL,3,3,0,14.0,4,0,4,0,0,1.000,,,1,14,,2.57,1.33,P,porzimi01
