Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,David Aardsma,24,CHC,NL,3,0,1.000,4.08,45,0,9,0,0,0,53.0,41,25,24,9,28,0,49,1,0,1,225,114,5.15,1.302,7.0,1.5,4.8,8.3,1.75,aardsda01
2,Winston Abreu,29,BAL,AL,0,0,,10.13,7,0,2,0,0,0,8.0,10,10,9,1,6,1,6,1,0,0,42,47,5.90,2.000,11.3,1.1,6.8,6.8,1.00,abreuwi01
3,Jeremy Accardo,24,TOT,MLB,2,4,.333,5.35,65,0,27,0,0,3,69.0,76,42,41,7,20,5,54,1,1,4,297,85,3.81,1.391,9.9,0.9,2.6,7.0,2.70,accarje01
4,Jeremy Accardo,24,SFG,NL,1,3,.250,4.91,38,0,16,0,0,3,40.1,38,23,22,2,11,3,40,1,0,2,170,92,2.70,1.215,8.5,0.4,2.5,8.9,3.64,accarje01
5,Jeremy Accardo,24,TOR,AL,1,1,.500,5.97,27,0,11,0,0,0,28.2,38,19,19,5,9,2,14,0,1,2,127,77,5.38,1.640,11.9,1.6,2.8,4.4,1.56,accarje01
6,Mike Adams,27,MIL,NL,0,0,,11.57,2,0,0,0,0,0,2.1,4,3,3,1,2,0,1,0,0,0,13,45,10.43,2.571,15.4,3.9,7.7,3.9,0.50,adamsmi03
7,Jon Adkins,28,SDP,NL,2,1,.667,3.98,55,0,15,0,0,0,54.1,55,26,24,3,20,4,30,2,0,0,232,102,3.98,1.380,9.1,0.5,3.3,5.0,1.50,adkinjo01
8,Jeremy Affeldt*,27,TOT,MLB,8,8,.500,6.20,54,9,12,0,0,1,97.1,102,74,67,13,55,3,48,2,0,2,448,77,5.65,1.613,9.4,1.2,5.1,4.4,0.87,affelje01
9,Jeremy Affeldt*,27,KCR,AL,4,6,.400,5.91,27,9,3,0,0,0,70.0,71,51,46,9,42,0,28,1,0,2,320,80,5.86,1.614,9.1,1.2,5.4,3.6,0.67,affelje01
10,Jeremy Affeldt*,27,COL,NL,4,2,.667,6.91,27,0,9,0,0,1,27.1,31,23,21,4,13,3,20,1,0,0,128,72,5.12,1.610,10.2,1.3,4.3,6.6,1.54,affelje01
11,Matt Albers,23,HOU,NL,0,2,.000,6.00,4,2,0,0,0,0,15.0,17,10,10,1,7,0,11,0,0,0,66,76,3.95,1.600,10.2,0.6,4.2,6.6,1.57,alberma01
12,Antonio Alfonseca,34,TEX,AL,0,0,,5.63,19,0,3,0,0,0,16.0,23,10,10,3,7,0,5,0,0,0,74,84,6.27,1.875,12.9,1.7,3.9,2.8,0.71,alfonan01
13,Abe Alvarez*,23,BOS,AL,0,0,,12.00,1,0,0,0,0,0,3.0,5,4,4,2,2,0,2,0,0,0,15,44,12.48,2.333,15.0,6.0,6.0,6.0,1.00,alvarab01
14,Steve Andrade,28,KCR,AL,0,0,,9.64,4,0,2,0,0,0,4.2,5,5,5,0,4,0,5,0,0,1,23,52,3.58,1.929,9.6,0.0,7.7,9.6,1.25,andrast01
15,Greg Aquino,28,ARI,NL,2,0,1.000,4.47,42,0,12,0,0,0,48.1,54,27,24,8,24,2,51,4,0,2,220,106,4.93,1.614,10.1,1.5,4.5,9.5,2.13,aquingr01
16,Tony Armas,28,WSN,NL,9,12,.429,5.03,30,30,0,0,0,0,154.0,167,96,86,19,64,7,97,13,1,6,693,85,4.99,1.500,9.8,1.1,3.7,5.7,1.52,armasto02
17,Bronson Arroyo,29,CIN,NL,14,11,.560,3.29,35,35,0,3,1,0,240.2,222,98,88,31,64,7,184,5,0,6,992,142,4.15,1.188,8.3,1.2,2.4,6.9,2.88,arroybr01
18,Miguel Asencio,25,COL,NL,1,0,1.000,4.70,3,1,0,0,0,0,7.2,9,8,4,1,4,0,7,1,0,0,37,109,4.97,1.696,10.6,1.2,4.7,8.2,1.75,asencmi01
19,Ezequiel Astacio,26,HOU,NL,2,0,1.000,11.12,6,0,2,0,0,0,5.2,7,7,7,2,6,3,6,0,0,0,30,42,8.79,2.294,11.1,3.2,9.5,9.5,1.00,astacez01
20,Pedro Astacio,37,WSN,NL,5,5,.500,5.98,17,17,0,1,1,0,90.1,109,64,60,14,31,3,42,1,1,0,407,72,5.29,1.550,10.9,1.4,3.1,4.2,1.35,astacpe01
