Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
1,Andy Abad,28,OAK,AL,1,0,0,1.0,2,2,0,0,1,1.000,0,0,18.00,2.00,1B,abadan01
2,Jeff Abbott,28,FLA,NL,17,8,8,85.2,27,26,0,1,0,.963,0,6,2.73,1.53,OF,abbotje01
3,Kurt Abbott,32,ATL,NL,2,1,0,10.0,10,2,8,0,0,1.000,2,204,9.00,5.00,2B-SS,abbotku01
4,Paul Abbott,33,SEA,AL,28,27,1,163.0,29,16,13,0,3,1.000,,,1.60,1.04,P,abbotpa01
5,Brent Abernathy,23,TBD,AL,79,78,76,680.2,366,150,209,7,56,.981,-1,-2,4.75,4.54,2B,abernbr01
6,Bobby Abreu,27,PHI,NL,162,159,154,1411.1,327,308,11,8,4,.976,1,1,2.03,1.97,OF,abreubo01
7,Jose Acevedo,23,CIN,NL,18,18,0,96.0,14,4,10,0,1,1.000,,,1.31,0.78,P,acevejo01
8,Juan Acevedo,31,TOT,NL,57,0,0,60.1,11,4,6,1,1,.909,,,1.49,0.17,P,aceveju01
9,Terry Adams,28,LAD,NL,43,22,0,166.1,45,13,31,1,2,.978,,,2.38,1.02,P,adamste01
10,Benny Agbayani,29,NYM,NL,84,82,39,631.2,130,123,1,6,0,.954,-12,-23,1.77,1.48,OF,agbaybe01
11,Kurt Ainsworth,22,SFG,NL,2,0,0,2.0,0,0,0,0,0,,,,0.00,0.00,P,ainswku01
12,Israel Alcantara,28,BOS,AL,12,9,5,76.0,30,25,3,2,1,.933,-2,-27,3.32,2.33,OF-1B,alcanis01
13,Cory Aldridge,22,ATL,NL,4,1,1,12.0,2,2,0,0,0,1.000,0,-20,1.50,0.50,OF,aldrico01
14,Antonio Alfonseca,29,FLA,NL,58,0,0,61.2,14,6,8,0,1,1.000,,,2.04,0.24,P,alfonan01
15,Edgardo Alfonzo,27,NYM,NL,122,119,103,1026.1,519,211,301,7,61,.987,1,1,4.49,4.20,2B,alfoned01
16,Luis Alicea,35,KCR,AL,84,73,64,658.1,349,117,218,14,50,.960,-1,-1,4.58,3.94,2B-3B,alicelu01
17,Chad Allen,26,MIN,AL,27,26,17,228.2,62,57,3,2,0,.968,-2,-12,2.36,2.22,OF,allench01
18,Armando Almanza,28,FLA,NL,52,0,0,41.0,3,0,3,0,0,1.000,,,0.66,0.06,P,almanar01
19,Carlos Almanzar,27,NYY,AL,10,0,0,10.2,3,1,2,0,0,1.000,,,2.53,0.30,P,almanca01
20,Erick Almonte,23,NYY,AL,4,0,0,10.0,8,4,3,1,1,.875,0,-36,6.30,1.75,SS,almoner01
21,Roberto Alomar,33,CLE,AL,157,156,130,1324.0,696,268,423,5,88,.993,-5,-4,4.70,4.40,2B,alomaro01
22,Sandy Alomar,35,CHW,AL,69,63,55,545.0,390,367,19,4,5,.990,1,2,6.37,5.59,C,alomasa02
23,Moises Alou,34,HOU,NL,130,130,97,1116.2,217,205,10,2,3,.991,-4,-4,1.73,1.65,OF,aloumo01
24,Brady Anderson,37,BAL,AL,120,108,98,968.1,250,239,8,3,4,.988,2,2,2.30,2.06,OF,anderbr01
25,Brian Anderson,29,ARI,NL,29,22,1,133.1,43,9,32,2,2,.953,,,2.77,1.41,P,anderbr02
26,Garret Anderson,29,ANA,AL,149,149,135,1307.2,324,313,9,2,2,.994,6,6,2.22,2.16,OF,anderga01
27,Jimmy Anderson,25,PIT,NL,34,34,1,206.1,48,8,37,3,0,.938,,,1.96,1.32,P,anderji02
28,Marlon Anderson,27,PHI,NL,140,138,123,1210.2,669,270,387,12,86,.982,9,9,4.88,4.69,2B,anderma02
