Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
1,Jeff Abbott,27,CHW,AL,65,50,31,452.1,105,101,2,2,0,.981,-6,-15,2.05,1.58,OF,abbotje01
2,Kurt Abbott,31,NYM,NL,61,35,23,374.0,186,74,105,7,13,.962,-2,-8,4.31,2.71,SS-2B-3B-OF,abbotku01
3,Paul Abbott,32,SEA,AL,35,27,0,179.0,32,12,19,1,3,.969,,,1.56,0.89,P,abbotpa01
4,Bobby Abreu,26,PHI,NL,152,150,147,1330.2,354,337,13,4,2,.989,15,13,2.37,2.30,OF,abreubo01
5,Juan Acevedo,30,MIL,NL,62,0,0,82.2,16,8,8,0,0,1.000,,,1.74,0.26,P,aceveju01
6,Terry Adams,27,LAD,NL,66,0,0,84.1,37,14,21,2,0,.946,,,3.74,0.53,P,adamste01
7,Benny Agbayani,28,NYM,NL,110,94,41,775.1,162,155,3,4,0,.975,0,0,1.83,1.44,OF,agbaybe01
8,Rick Aguilera,38,CHC,NL,54,0,0,47.2,13,6,7,0,0,1.000,,,2.45,0.24,P,aguilri01
9,Israel Alcantara,27,BOS,AL,11,3,3,44.2,18,17,0,1,1,.944,0,-8,3.43,1.42,OF-1B,alcanis01
10,Scott Aldred,32,PHI,NL,23,0,0,20.1,3,1,2,0,0,1.000,,,1.33,0.13,P,aldresc01
11,Manny Alexander,29,BOS,AL,89,50,35,508.1,186,60,119,7,13,.962,-2,-4,3.17,1.99,3B-SS-2B,alexama02
12,Antonio Alfonseca,28,FLA,NL,68,0,0,70.0,16,1,14,1,1,.938,,,1.93,0.22,P,alfonan01
13,Edgardo Alfonzo,26,NYM,NL,146,145,117,1240.2,688,316,362,10,84,.985,1,1,4.92,4.64,2B,alfoned01
14,Luis Alicea,34,TEX,AL,130,127,106,1098.0,599,253,328,18,86,.970,-11,-11,4.76,4.18,2B-3B-SS,alicelu01
15,Chad Allen,25,MIN,AL,15,15,11,126.0,28,26,2,0,2,1.000,2,19,2.00,1.87,OF,allench01
16,Dusty Allen,27,TOT,MLB,20,5,2,66.0,50,49,1,0,5,1.000,0,2,6.82,2.27,1B-OF-3B,allendu01
17,Armando Almanza,27,FLA,NL,67,0,0,46.1,4,1,3,0,0,1.000,,,0.78,0.06,P,almanar01
18,Carlos Almanzar,26,SDP,NL,62,0,0,69.2,14,3,11,0,0,1.000,,,1.81,0.23,P,almanca01
19,Roberto Alomar,32,CLE,AL,155,154,129,1309.1,745,293,437,15,109,.980,7,6,5.02,4.71,2B,alomaro01
20,Sandy Alomar,34,CLE,AL,95,93,88,816.2,711,661,42,8,6,.989,-5,-7,7.75,7.40,C,alomasa02
21,Moises Alou,33,HOU,NL,121,120,94,1012.2,203,192,5,6,0,.970,-13,-16,1.75,1.63,OF,aloumo01
22,Clemente Alvarez,32,PHI,NL,2,1,0,8.0,10,10,0,0,0,1.000,0,0,11.25,5.00,C,alvarcl01
23,Gabe Alvarez,26,SDP,NL,5,0,0,13.0,1,0,1,0,0,1.000,-1,-65,0.69,0.20,3B-OF,alvarga01
24,Juan Alvarez,26,ANA,AL,11,0,0,6.0,2,2,0,0,1,1.000,,,3.00,0.18,P,alvarju01
