Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,David Aardsma,24,CHC,NL,45,0,0,53.0,6,1,5,0,1,1.000,,,-1,-4,0,1.02,0.13,P,aardsda01
2,Reggie Abercrombie,25,FLA,NL,93,67,48,620.2,184,176,3,5,1,.973,-4,-7,-8,-15,-8,2.60,1.92,OF,abercre01
3,Bobby Abreu,32,TOT,ZZ,154,149,133,1299.0,305,292,10,3,0,.990,-10,-10,-16,-14,4,2.09,1.96,OF,abreubo01
4,Winston Abreu,29,BAL,AL,7,0,0,8.0,1,1,0,0,0,1.000,,,0,0,0,1.13,0.14,P,abreuwi01
5,Jeremy Accardo,24,TOT,ZZ,65,0,0,69.0,14,2,12,0,0,1.000,,,0,0,0,1.83,0.22,P,accarje01
6,Mike Adams,27,MIL,NL,2,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,adamsmi03
7,Russ Adams,25,TOR,AL,86,66,53,595.2,298,100,186,12,36,.960,-9,-17,-7,-14,0,4.32,3.33,2B-SS,adamsru01
8,Jon Adkins,28,SDP,NL,55,0,0,54.1,14,1,12,1,2,.929,,,1,4,0,2.15,0.24,P,adkinjo01
9,Jeremy Affeldt,27,TOT,ZZ,54,9,0,97.1,15,1,13,1,1,.933,,,-3,-37,0,1.29,0.26,P,affelje01
10,Chris Aguila,27,FLA,NL,31,18,9,181.2,41,39,2,0,0,1.000,2,10,2,13,0,2.03,1.32,OF,aguilch01
11,Matt Albers,23,HOU,NL,4,2,0,15.0,8,4,4,0,1,1.000,,,0,0,0,4.80,2.00,P,alberma01
12,Manny Alexander,35,SDP,NL,22,9,8,108.1,50,14,34,2,9,.960,1,13,1,14,0,3.99,2.18,SS-3B,alexama02
13,Antonio Alfonseca,34,TEX,AL,19,0,0,16.0,4,1,3,0,0,1.000,,,0,0,0,2.25,0.21,P,alfonan01
14,Edgardo Alfonzo,32,TOT,AL,29,22,16,202.2,71,19,52,0,5,1.000,2,9,0,0,0,3.15,2.45,3B-2B-1B,alfoned01
15,Eliezer Alfonzo,27,SFG,NL,84,80,73,700.1,603,567,31,5,3,.992,0,0,-2,-3,-2,7.68,7.12,C,alfonel01
16,Sandy Alomar,40,TOT,ZZ,35,25,21,241.1,184,176,6,2,2,.989,0,0,-2,-9,1,6.79,5.20,C,alomasa02
17,Moises Alou,39,SFG,NL,92,90,56,725.2,178,173,1,4,0,.978,0,0,-10,-16,-4,2.16,1.89,OF,aloumo01
18,Abe Alvarez,23,BOS,AL,1,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,alvarab01
19,Alfredo Amezaga,28,FLA,NL,109,82,51,754.2,279,209,64,6,20,.978,-6,-9,6,9,-3,3.26,2.31,OF-2B-SS-3B-1B,amezaal01
20,Brian Anderson,24,CHW,AL,134,106,90,966.0,310,305,3,2,1,.994,5,6,-2,-2,-6,2.87,2.30,OF,anderbr03
21,Drew Anderson,25,MIL,NL,2,1,0,9.1,1,1,0,0,0,1.000,0,-13,0,0,0,0.96,0.50,OF,anderdr01
22,Garret Anderson,34,LAA,AL,94,94,76,812.2,193,192,1,0,0,1.000,8,12,-12,-17,-2,2.14,2.05,OF,anderga01
23,Marlon Anderson,32,TOT,NL,66,54,34,471.1,187,104,74,9,15,.952,-3,-9,-4,-10,-4,3.40,2.66,2B-OF-1B,anderma02
24,Robert Andino,22,FLA,NL,9,5,5,55.2,28,7,20,1,2,.964,0,-9,-1,-24,0,4.37,3.00,SS,andinro01
25,Steve Andrade,28,KCR,AL,4,0,0,4.2,1,0,1,0,0,1.000,,,1,43,0,1.93,0.25,P,andrast01
26,Greg Aquino,28,ARI,NL,42,0,0,48.1,11,5,6,0,2,1.000,,,-2,-8,0,2.05,0.26,P,aquingr01
27,Danny Ardoin,31,TOT,ZZ,40,37,28,323.1,258,239,16,3,1,.988,0,0,3,11,0,7.10,6.38,C,ardoida01
28,Joaquin Arias,21,TEX,AL,6,3,3,28.0,20,7,13,0,2,1.000,1,43,1,56,0,6.43,3.33,SS-3B,ariasjo01
29,Tony Armas,28,WSN,NL,30,30,0,154.0,27,7,20,0,0,1.000,,,-2,-3,-1,1.58,0.90,P,armasto02
30,Bronson Arroyo,29,CIN,NL,35,35,3,240.2,62,29,33,0,4,1.000,,,1,1,0,2.32,1.77,P,arroybr01
31,Miguel Asencio,25,COL,NL,3,1,0,7.2,2,2,0,0,0,1.000,,,0,0,0,2.35,0.67,P,asencmi01
32,Ezequiel Astacio,26,HOU,NL,6,0,0,5.2,2,1,1,0,0,1.000,,,1,35,0,3.18,0.33,P,astacez01
33,Pedro Astacio,37,WSN,NL,17,17,1,90.1,22,6,16,0,1,1.000,,,2,4,0,2.19,1.29,P,astacpe01
34,Garrett Atkins,26,COL,NL,157,157,148,1386.1,408,103,286,19,37,.953,11,10,-2,-1,0,2.53,2.43,3B-1B,atkinga01
35,Rich Aurilia,34,CIN,NL,115,105,73,925.1,571,376,187,8,60,.986,0,0,-7,-9,-2,5.48,4.17,3B-1B-SS-2B,aurilri01
36,Brad Ausmus,37,HOU,NL,138,124,112,1128.1,995,929,64,2,9,.998,0,0,3,4,4,7.92,7.04,C-2B-1B,ausmubr01
37,Erick Aybar,22,LAA,AL,22,6,6,82.0,43,14,25,4,6,.907,-3,-41,-1,-15,0,4.28,1.77,SS-2B,aybarer01
38,Willy Aybar,23,TOT,NL,71,62,52,554.0,189,48,132,9,17,.952,0,0,-2,-4,-2,2.92,2.37,3B-2B,aybarwi01
39,Brandon Backe,28,HOU,NL,8,8,0,43.0,14,5,9,0,1,1.000,,,3,14,0,2.93,1.75,P,backebr01
40,Cha-Seung Baek,26,SEA,AL,6,6,0,34.1,10,5,4,1,0,.900,,,2,12,0,2.36,1.50,P,baekch01
41,Danys Báez,28,TOT,NL,57,0,0,59.2,17,7,9,1,1,.941,,,-1,-20,0,2.41,0.28,P,baezda01
42,Jeff Bajenaru,28,ARI,NL,1,0,0,1.0,1,0,1,0,0,1.000,,,0,0,0,9.00,1.00,P,bajenje01
