Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,David Aardsma,26,BOS,AL,47,0,0,48.2,9,3,6,0,0,1.000,,,1,4,0,1.66,0.19,P,aardsda01
2,Reggie Abercrombie,27,HOU,NL,22,12,6,109.1,38,36,2,0,1,1.000,2,25,2,22,0,3.13,1.73,OF,abercre01
3,Bobby Abreu,34,NYY,AL,150,148,139,1310.0,282,270,10,2,3,.993,-6,-5,-22,-20,-4,1.92,1.87,OF,abreubo01
4,Jeremy Accardo,26,TOR,AL,16,0,0,12.1,1,1,0,0,1,1.000,,,-1,-16,0,0.73,0.06,P,accarje01
5,Alfredo Aceves,25,NYY,AL,6,4,0,30.0,5,3,2,0,2,1.000,,,0,0,0,1.50,0.83,P,aceveal01
6,Manny Acosta,27,ATL,NL,46,0,0,53.0,22,7,13,2,3,.909,,,4,15,0,3.40,0.43,P,acostma01
7,Mike Adams,29,SDP,NL,54,0,0,65.1,14,9,5,0,1,1.000,,,0,0,0,1.93,0.26,P,adamsmi03
8,Nick Adenhart,21,LAA,AL,3,3,0,12.0,1,0,1,0,0,1.000,,,-1,-17,0,0.75,0.33,P,adenhni01
9,Jon Adkins,30,CIN,NL,4,0,0,3.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,adkinjo01
10,Jeremy Affeldt,29,CIN,NL,74,0,0,78.1,30,7,22,1,2,.967,,,1,3,0,3.33,0.39,P,affelje01
11,Chris Aguila,29,NYM,NL,6,2,0,26.0,6,5,1,0,0,1.000,0,9,0,0,0,2.08,1.00,OF,aguilch01
12,Jonathan Albaladejo,25,NYY,AL,7,0,0,13.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,albaljo01
13,Matt Albers,25,BAL,AL,28,3,0,49.0,11,5,6,0,0,1.000,,,1,4,0,2.02,0.39,P,alberma01
14,Eliezer Alfonzo,29,SFG,NL,2,2,2,17.0,12,10,1,1,0,.917,-1,-71,-1,-71,0,5.82,5.50,C,alfonel01
15,Moises Alou,41,NYM,NL,13,13,5,92.1,18,18,0,0,0,1.000,-2,-23,-2,-26,0,1.75,1.38,OF,aloumo01
16,Chip Ambres,28,SDP,NL,10,9,6,72.1,20,19,0,1,0,.950,0,-7,2,33,0,2.36,1.90,OF,ambrech01
17,Alfredo Amezaga,30,FLA,NL,111,67,57,681.1,249,187,60,2,7,.992,5,9,23,40,0,3.26,2.01,OF-SS-2B-3B,amezaal01
18,Brian Anderson,26,CHW,AL,98,39,33,469.1,105,105,0,0,0,1.000,-4,-9,4,10,0,2.01,1.07,OF,anderbr03
19,Garret Anderson,36,LAA,AL,82,80,72,689.1,153,144,9,0,2,1.000,8,13,0,0,4,2.00,1.87,OF,anderga01
20,Josh Anderson,25,ATL,NL,35,30,25,270.0,67,64,1,2,0,.970,0,0,12,53,0,2.17,1.86,OF,anderjo03
21,Marlon Anderson,34,NYM,NL,31,23,11,195.2,77,68,7,2,5,.974,8,50,7,42,0,3.45,2.34,OF-1B-2B,anderma02
22,Robert Andino,24,FLA,NL,21,9,7,104.2,67,32,33,2,7,.970,3,31,4,45,0,5.59,3.10,2B-SS-OF-3B,andinro01
23,Rick Ankiel,28,STL,NL,106,100,86,899.1,248,236,4,8,1,.968,3,3,-10,-13,0,2.40,2.26,OF,ankieri01
24,Matt Antonelli,23,SDP,NL,18,15,12,137.1,74,38,34,2,7,.973,-3,-27,-3,-27,0,4.72,4.00,2B,antonma01
25,Greg Aquino,30,BAL,AL,9,0,0,9.1,1,0,1,0,0,1.000,,,0,0,0,0.96,0.11,P,aquingr01
26,Danny Ardoin,33,LAD,NL,24,17,10,145.1,138,126,11,1,4,.993,-1,-8,3,25,1,8.48,5.71,C,ardoida01
27,Alberto Arias,24,TOT,NL,15,2,0,21.2,4,2,1,1,1,.750,,,0,0,0,1.25,0.20,P,ariasal02
28,Joaquin Arias,23,TEX,AL,30,26,20,225.0,117,48,67,2,19,.983,-1,-4,-3,-17,-1,4.60,3.83,2B,ariasjo01
29,Tony Armas,30,NYM,NL,3,1,0,8.1,3,1,2,0,0,1.000,,,0,0,0,3.24,1.00,P,armasto02
30,Jose Arredondo,24,LAA,AL,52,0,0,61.0,3,2,1,0,0,1.000,,,-2,-7,0,0.44,0.06,P,arredjo01
31,Bronson Arroyo,31,CIN,NL,34,34,1,200.0,49,18,31,0,0,1.000,,,5,5,0,2.21,1.44,P,arroybr01
32,Jose Ascanio,23,CHC,NL,6,0,0,5.2,3,0,2,1,0,.667,,,-1,-35,0,3.18,0.33,P,ascanjo01
33,Garrett Atkins,28,COL,NL,154,152,135,1333.0,841,601,225,15,78,.982,2,2,-14,-12,0,5.58,5.29,3B-1B-2B,atkinga01
34,Michael Aubrey,26,CLE,AL,12,11,8,94.1,105,99,6,0,14,1.000,0,-5,-1,-9,0,10.02,8.75,1B,aubremi01
35,Rich Aurilia,36,SFG,NL,128,99,73,907.2,517,415,93,9,56,.983,-3,-4,-6,-8,-1,5.04,3.48,1B-3B-2B,aurilri01
36,Brad Ausmus,39,HOU,NL,80,62,51,575.2,469,433,33,3,4,.994,2,3,0,0,0,7.29,5.75,C-1B-3B-2B,ausmubr01
37,Mike Aviles,27,KCR,AL,102,101,70,891.2,454,170,274,10,70,.978,7,10,12,16,1,4.48,3.52,SS-2B-3B,avilemi01
38,Luis Ayala,30,TOT,NL,81,0,0,75.2,14,2,12,0,1,1.000,,,1,15,0,1.67,0.17,P,ayalalu01
39,Erick Aybar,24,LAA,AL,96,91,80,786.2,435,140,277,18,63,.959,-6,-9,10,15,4,4.77,4.26,SS-2B,aybarer01
40,Willy Aybar,25,TBR,AL,70,66,62,602.0,317,192,120,5,27,.984,8,15,6,13,0,4.66,4.33,3B-1B-2B-SS,aybarwi01
41,Brandon Backe,30,HOU,NL,31,31,0,166.2,33,15,17,1,2,.970,,,1,1,0,1.73,1.03,P,backebr01
42,Burke Badenhop,25,FLA,NL,13,8,0,47.1,12,3,9,0,0,1.000,,,2,8,0,2.28,0.92,P,badenbu01
43,Cha-Seung Baek,28,TOT,ZZ,32,21,0,141.0,33,18,13,2,2,.939,,,-1,-8,0,1.98,0.97,P,baekch01
44,Homer Bailey,22,CIN,NL,8,8,0,36.1,6,2,3,1,0,.833,,,-2,-11,0,1.24,0.63,P,baileho02
45,Jeff Bailey,29,BOS,AL,17,9,5,91.0,83,80,3,0,10,1.000,0,-1,-4,-52,0,8.21,4.61,1B-OF,baileje01
46,Jeff Baisley,25,OAK,AL,14,14,8,112.0,59,43,15,1,4,.983,-4,-46,-3,-31,0,4.66,4.14,3B-1B,baislje01
47,Jeff Baker,27,COL,NL,78,70,41,580.1,379,221,153,5,49,.987,-2,-5,-2,-4,0,5.80,4.51,2B-1B-3B-OF,bakerje03
48,John Baker,27,FLA,NL,59,54,53,496.0,428,402,22,4,0,.991,-3,-7,-2,-5,2,7.69,7.19,C,bakerjo01
49,Scott Baker,26,MIN,AL,28,28,0,172.1,22,10,11,1,2,.955,,,-1,-1,0,1.10,0.75,P,bakersc02
50,Paul Bako,36,CIN,NL,96,88,74,770.2,723,679,39,5,7,.993,0,0,-3,-5,1,8.38,7.48,C,bakopa01
51,Rocco Baldelli,26,TBR,AL,7,3,0,36.2,7,6,0,1,0,.857,1,36,0,0,0,1.47,0.86,OF,baldero01
52,John Bale,34,KCR,AL,13,3,0,26.2,9,0,9,0,1,1.000,,,1,8,0,3.04,0.69,P,balejo01
53,Wladimir Balentien,23,SEA,AL,68,62,57,554.2,157,149,6,2,0,.987,1,2,4,8,2,2.52,2.28,OF,balenwl01
54,Collin Balester,22,WSN,NL,15,15,0,80.0,12,5,5,2,1,.833,,,-2,-5,0,1.13,0.67,P,balesco01
55,Grant Balfour,30,TBR,AL,51,0,0,58.1,5,0,5,0,0,1.000,,,0,0,0,0.77,0.10,P,balfogr01
56,Josh Banks,25,SDP,NL,17,14,1,85.1,23,9,14,0,0,1.000,,,1,2,0,2.43,1.35,P,banksjo01
57,Wes Bankston,24,OAK,AL,13,12,8,108.0,111,104,6,1,10,.991,1,6,-1,-8,0,9.17,8.46,1B,bankswe01
58,Brian Bannister,27,KCR,AL,32,32,1,182.2,42,12,28,2,3,.952,,,3,3,0,1.97,1.25,P,bannibr01
59,Rod Barajas,32,TOR,AL,101,93,79,812.1,757,701,52,4,9,.995,8,12,8,12,3,8.34,7.38,C-1B,barajro01
60,Josh Bard,30,SDP,NL,49,47,42,416.2,352,329,20,3,1,.991,-4,-12,-1,-3,0,7.54,7.12,C,bardjo01
61,Brian Barden,27,STL,NL,6,1,1,16.0,8,1,6,1,0,.875,0,-23,0,30,0,3.94,1.17,2B-3B-1B,bardebr01
62,Josh Barfield,25,CLE,AL,9,8,7,71.0,50,26,24,0,9,1.000,-1,-17,-2,-35,0,6.34,5.56,2B,barfijo02
63,Clint Barmes,29,COL,NL,101,91,71,825.1,462,151,301,10,67,.978,6,9,7,10,0,4.93,4.07,2B-SS-3B-OF,barmecl01
64,Michael Barrett,31,SDP,NL,30,29,26,252.1,223,205,16,2,0,.991,-6,-29,-3,-14,1,7.88,7.37,C,barremi01
65,Jimmy Barthmaier,24,PIT,NL,3,3,0,10.1,0,0,0,0,0,,,,0,0,0,0.00,0.00,P,barthji01
66,Jason Bartlett,28,TBR,AL,125,122,119,1097.0,529,204,309,16,69,.970,-9,-10,-1,-1,1,4.21,4.10,SS,bartlja01
67,Brian Barton,26,STL,NL,45,33,8,259.0,62,58,2,2,0,.968,-3,-12,2,9,0,2.08,1.33,OF,bartobr01
68,Daric Barton,22,OAK,AL,134,124,122,1123.2,1109,1022,74,13,129,.988,5,5,4,5,-1,8.78,8.12,1B-3B,bartoda02
69,Brian Bass,26,TOT,AL,49,4,0,89.1,30,11,19,0,0,1.000,,,2,26,0,3.02,0.61,P,bassbr01
