Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,David Aardsma,25,CHW,AL,2,1,.667,6.40,25,0,7,0,0,0,32.1,39,24,23,4,17,3,36,1,0,2,151,74,4.29,1.732,10.9,1.1,4.7,10.0,2.12,aardsda01
2,Winston Abreu,30,WSN,NL,0,1,.000,5.93,26,0,3,0,0,0,30.1,37,21,20,7,9,1,26,0,1,2,133,72,5.42,1.516,11.0,2.1,2.7,7.7,2.89,abreuwi01
3,Jeremy Accardo,25,TOR,AL,4,4,.500,2.14,64,0,48,0,0,30,67.1,51,19,16,4,24,2,57,2,1,0,275,210,3.48,1.114,6.8,0.5,3.2,7.6,2.38,accarje01
4,Manny Acosta,26,ATL,NL,1,1,.500,2.28,21,0,5,0,0,0,23.2,13,6,6,2,14,1,22,0,0,1,93,193,4.25,1.141,4.9,0.8,5.3,8.4,1.57,acostma01
5,Jon Adkins,29,NYM,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.24,0.000,0.0,0.0,0.0,0.0,,adkinjo01
6,Jeremy Affeldt*,28,COL,NL,4,3,.571,3.51,75,0,11,0,0,0,59.0,47,26,23,3,33,9,46,3,1,6,253,137,4.17,1.356,7.2,0.5,5.0,7.0,1.39,affelje01
7,Jonathan Albaladejo,24,WSN,NL,1,1,.500,1.88,14,0,1,0,0,0,14.1,7,3,3,1,2,0,12,1,0,0,51,229,3.10,0.628,4.4,0.6,1.3,7.5,6.00,albaljo01
8,Matt Albers,24,HOU,NL,4,11,.267,5.86,31,18,2,0,0,0,110.2,127,77,72,18,50,6,71,7,0,7,508,76,5.62,1.599,10.3,1.5,4.1,5.8,1.42,alberma01
9,Antonio Alfonseca,35,PHI,NL,5,2,.714,5.44,61,0,22,0,0,8,49.2,65,31,30,3,27,6,24,1,0,1,236,85,4.75,1.852,11.8,0.5,4.9,4.3,0.89,alfonan01
10,Greg Aquino,29,MIL,NL,0,1,.000,4.50,15,0,8,0,0,0,14.0,13,9,7,2,5,1,12,0,0,2,59,101,4.45,1.286,8.4,1.3,3.2,7.7,2.40,aquingr01
11,Alberto Arias,23,COL,NL,1,0,1.000,4.91,6,0,0,0,0,0,7.1,8,4,4,1,5,0,3,0,0,0,32,102,6.24,1.773,9.8,1.2,6.1,3.7,0.60,ariasal02
12,Tony Armas,29,PIT,NL,4,5,.444,6.03,31,15,6,0,0,0,97.0,111,68,65,18,38,3,73,8,0,2,442,72,5.57,1.536,10.3,1.7,3.5,6.8,1.92,armasto02
13,Bronson Arroyo,30,CIN,NL,9,15,.375,4.23,34,34,0,1,0,0,210.2,232,109,99,28,63,6,156,13,0,4,921,109,4.57,1.400,9.9,1.2,2.7,6.7,2.48,arroybr01
14,Jose Ascanio,22,ATL,NL,1,1,.500,5.06,13,0,6,0,0,0,16.0,17,11,9,3,6,2,13,0,0,0,74,88,5.18,1.438,9.6,1.7,3.4,7.3,2.17,ascanjo01
15,Scott Atchison,31,SFG,NL,0,0,,4.11,22,0,4,0,0,0,30.2,32,14,14,5,10,0,25,1,0,2,131,110,4.81,1.370,9.4,1.5,2.9,7.3,2.50,atchisc01
16,Luis Ayala,29,WSN,NL,2,2,.500,3.19,44,0,11,0,0,1,42.1,43,16,15,5,12,0,28,1,0,1,181,133,4.37,1.299,9.1,1.1,2.6,6.0,2.33,ayalalu01
17,Brandon Backe,29,HOU,NL,3,1,.750,3.77,5,5,0,0,0,0,28.2,27,13,12,4,11,0,11,2,0,0,123,119,5.65,1.326,8.5,1.3,3.5,3.5,1.00,backebr01
