Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,David Aardsma,25,CHW,AL,25,0,0,32.1,7,2,4,1,0,.857,,,-2,-12,0,1.67,0.24,P,aardsda01
2,Reggie Abercrombie,26,FLA,NL,19,17,10,144.2,63,60,2,1,0,.984,5,41,6,49,4,3.86,3.26,OF,abercre01
3,Bobby Abreu,33,NYY,AL,157,150,139,1333.0,323,313,6,4,1,.988,-10,-9,-22,-19,-2,2.15,2.03,OF,abreubo01
4,Tony Abreu,22,LAD,NL,51,38,29,358.0,168,40,123,5,19,.970,5,16,9,29,0,4.10,2.72,3B-2B-SS,abreuto01
5,Winston Abreu,30,WSN,NL,26,0,0,30.1,3,2,1,0,0,1.000,,,-2,-13,0,0.89,0.12,P,abreuwi01
6,Jeremy Accardo,25,TOR,AL,64,0,0,67.1,9,6,3,0,0,1.000,,,-2,-6,0,1.20,0.14,P,accarje01
7,Manny Acosta,26,ATL,NL,21,0,0,23.2,9,2,7,0,1,1.000,,,2,18,0,3.42,0.43,P,acostma01
8,Russ Adams,26,TOR,AL,18,16,10,140.0,27,10,14,3,0,.889,-3,-29,-5,-41,0,1.54,1.33,3B-2B,adamsru01
9,Jon Adkins,29,NYM,NL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,adkinjo01
10,Jeremy Affeldt,28,COL,NL,75,0,0,59.0,14,2,12,0,0,1.000,,,1,4,0,2.14,0.19,P,affelje01
11,Jonathan Albaladejo,24,WSN,NL,14,0,0,14.1,1,0,1,0,0,1.000,,,0,0,0,0.63,0.07,P,albaljo01
12,Matt Albers,24,HOU,NL,31,18,0,110.2,21,7,13,1,2,.952,,,-2,-3,-1,1.63,0.65,P,alberma01
13,Antonio Alfonseca,35,PHI,NL,61,0,0,49.2,5,1,4,0,0,1.000,,,-1,-4,0,0.91,0.08,P,alfonan01
14,Eliezer Alfonzo,28,SFG,NL,17,12,12,122.0,107,97,7,3,0,.972,0,0,3,32,2,7.67,6.12,C,alfonel01
15,Sandy Alomar,41,NYM,NL,6,4,4,41.0,34,29,5,0,0,1.000,2,59,2,67,0,7.46,5.67,C,alomasa02
16,Moises Alou,40,NYM,NL,84,84,56,703.0,149,138,7,4,0,.973,-5,-9,4,6,4,1.86,1.73,OF,aloumo01
17,Chip Ambres,27,NYM,NL,1,0,0,2.0,0,0,0,0,0,,0,0,0,0,,0.00,0.00,OF,ambrech01
18,Alfredo Amezaga,29,FLA,NL,118,92,72,878.0,342,263,71,8,12,.977,7,9,30,41,1,3.42,2.46,OF-SS-2B-3B-1B,amezaal01
19,Brian Anderson,25,CHW,AL,8,3,2,35.1,10,9,0,1,0,.900,-3,-112,-6,-205,-2,2.29,1.13,OF,anderbr03
20,Garret Anderson,35,LAA,AL,85,85,73,724.1,152,143,7,2,0,.987,7,12,0,0,2,1.86,1.76,OF,anderga01
21,Josh Anderson,24,HOU,NL,19,15,15,142.0,33,32,0,1,0,.970,-6,-52,-8,-67,-2,2.03,1.68,OF,anderjo03
22,Marlon Anderson,33,TOT,NL,20,12,9,107.1,44,40,3,1,1,.977,1,16,5,56,0,3.61,2.15,OF-1B-2B,anderma02
23,Robert Andino,23,FLA,NL,3,1,1,20.0,7,3,4,0,1,1.000,-1,-42,-1,-48,0,3.15,2.33,SS,andinro01
24,Rick Ankiel,27,STL,NL,44,40,26,350.2,96,91,3,2,0,.979,-2,-6,8,27,0,2.41,2.14,OF,ankieri01
25,Greg Aquino,29,MIL,NL,15,0,0,14.0,1,0,1,0,0,1.000,,,0,0,0,0.64,0.07,P,aquingr01
26,Alberto Arias,23,COL,NL,6,0,0,7.1,1,0,1,0,0,1.000,,,0,0,0,1.23,0.17,P,ariasal02
27,Tony Armas,29,PIT,NL,31,15,0,97.0,13,5,8,0,0,1.000,,,-3,-6,0,1.21,0.42,P,armasto02
28,Bronson Arroyo,30,CIN,NL,34,34,1,210.2,39,11,27,1,0,.974,,,3,3,0,1.62,1.12,P,arroybr01
29,Jose Ascanio,22,ATL,NL,13,0,0,16.0,4,1,3,0,0,1.000,,,0,0,0,2.25,0.31,P,ascanjo01
30,Scott Atchison,31,SFG,NL,22,0,0,30.2,8,2,6,0,1,1.000,,,0,0,0,2.35,0.36,P,atchisc01
31,Garrett Atkins,27,COL,NL,156,155,120,1351.1,384,115,255,14,37,.964,-2,-2,-26,-23,-2,2.46,2.26,3B-1B,atkinga01
32,Rich Aurilia,35,SFG,NL,91,81,60,713.0,542,422,111,9,61,.983,5,9,7,11,0,6.73,5.44,1B-3B-SS-2B,aurilri01
33,Brad Ausmus,38,HOU,NL,116,102,82,920.2,822,769,49,4,6,.995,7,9,0,0,2,8.00,6.70,C-1B-3B-2B,ausmubr01
34,Luis Ayala,29,WSN,NL,44,0,0,42.1,11,3,8,0,0,1.000,,,2,10,0,2.34,0.25,P,ayalalu01
35,Erick Aybar,23,LAA,AL,66,47,39,440.1,218,79,132,7,27,.968,0,0,3,8,1,4.31,2.93,2B-SS-OF-3B,aybarer01
36,Brandon Backe,29,HOU,NL,5,5,0,28.2,8,2,6,0,1,1.000,,,1,8,0,2.51,1.60,P,backebr01
37,Mike Bacsik,29,WSN,NL,29,20,0,118.0,26,12,13,1,2,.962,,,-1,-2,0,1.91,0.86,P,bacsimi02
38,Cha-Seung Baek,27,SEA,AL,14,12,1,73.1,12,4,8,0,0,1.000,,,1,3,0,1.47,0.86,P,baekch01
39,Danys Báez,29,BAL,AL,53,0,0,50.1,15,6,9,0,0,1.000,,,1,4,0,2.68,0.28,P,baezda01
40,Homer Bailey,21,CIN,NL,9,9,0,45.1,7,3,3,1,0,.857,,,-2,-8,0,1.19,0.67,P,baileho02
41,Jeff Bailey,28,BOS,AL,3,2,1,17.2,18,16,2,0,1,1.000,0,14,0,0,0,9.17,6.00,1B,baileje01
42,Jeff Baker,26,COL,NL,40,24,14,224.2,156,147,6,3,12,.981,0,-1,-5,-26,0,6.13,3.83,OF-1B-3B,bakerje03
43,Scott Baker,25,MIN,AL,24,23,2,143.2,21,9,10,2,1,.905,,,1,2,0,1.19,0.79,P,bakersc02
44,Paul Bako,35,BAL,AL,57,47,38,421.0,352,324,24,4,5,.989,-2,-6,0,0,1,7.44,6.11,C,bakopa01
45,Rocco Baldelli,25,TBD,AL,20,20,18,162.0,65,62,3,0,1,1.000,-2,-14,4,29,2,3.61,3.25,OF,baldero01
46,John Bale,33,KCR,AL,26,0,0,40.0,9,1,8,0,1,1.000,,,1,6,0,2.03,0.35,P,balejo01
47,Wladimir Balentien,22,SEA,AL,3,0,0,5.0,0,0,0,0,0,,-1,-144,-2,-480,0,0.00,0.00,OF,balenwl01
48,Grant Balfour,29,TOT,ZZ,25,0,0,24.2,6,1,5,0,0,1.000,,,-2,-97,0,2.19,0.24,P,balfogr01
49,Josh Banks,24,TOR,AL,3,1,0,7.1,3,1,2,0,0,1.000,,,0,0,0,3.68,1.00,P,banksjo01
50,Brian Bannister,26,KCR,AL,27,27,1,165.0,33,12,21,0,1,1.000,,,3,4,0,1.80,1.22,P,bannibr01
51,Rod Barajas,31,PHI,NL,39,37,26,304.0,268,253,15,0,3,1.000,0,0,-4,-14,-4,7.93,6.87,C-1B,barajro01
