Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
1,Jeff Abbott,25,CHW,AL,76,61,29,508.2,136,132,0,4,0,.971,-16,-37,2.34,1.74,OF,abbotje01
2,Jim Abbott,30,CHW,AL,5,5,0,31.2,12,2,10,0,1,1.000,,,3.41,2.40,P,abbotji01
3,Kurt Abbott,29,TOT,MLB,57,43,26,376.0,184,78,94,12,21,.935,-11,-34,4.12,2.87,SS-OF-2B-3B,abbotku01
4,Paul Abbott,30,SEA,AL,4,4,0,24.2,4,1,3,0,0,1.000,,,1.46,1.00,P,abbotpa01
5,Bobby Abreu,24,PHI,NL,146,139,133,1260.1,297,272,17,8,0,.973,28,27,2.06,1.98,OF,abreubo01
6,Juan Acevedo,28,STL,NL,50,9,0,98.1,25,6,18,1,0,.960,,,2.20,0.48,P,aceveju01
7,Terry Adams,25,CHC,NL,63,0,0,72.2,20,4,13,3,0,.850,,,2.11,0.27,P,adamste01
8,Joel Adamson,26,ARI,NL,5,5,0,23.0,5,0,4,1,0,.800,,,1.57,0.80,P,adamsjo02
9,Benny Agbayani,26,NYM,NL,9,3,1,32.0,6,6,0,0,0,1.000,1,41,1.69,0.67,OF,agbaybe01
10,Rick Aguilera,36,MIN,AL,68,0,0,74.1,12,3,9,0,2,1.000,,,1.45,0.18,P,aguilri01
11,Scott Aldred,30,TBD,AL,48,0,0,31.1,10,3,7,0,2,1.000,,,2.87,0.21,P,aldresc01
12,Manny Alexander,27,CHC,NL,87,55,40,552.1,236,89,140,7,27,.970,-5,-12,3.73,2.36,SS-2B-3B-OF,alexama02
13,Antonio Alfonseca,26,FLA,NL,58,0,0,70.2,11,4,6,1,1,.909,,,1.27,0.17,P,alfonan01
14,Edgardo Alfonzo,24,NYM,NL,144,136,128,1233.0,374,117,248,9,20,.976,0,0,2.66,2.52,3B-SS,alfoned01
15,Luis Alicea,32,TEX,AL,72,54,50,505.1,249,97,143,9,27,.964,4,10,4.27,3.29,2B-3B-OF,alicelu01
16,Jermaine Allensworth,26,TOT,ZZ,124,91,77,861.1,229,221,4,4,2,.983,1,2,2.35,1.81,OF,allenje01
17,Carlos Almanzar,24,TOR,AL,25,0,0,28.2,6,2,3,1,0,.833,,,1.57,0.20,P,almanca01
18,Roberto Alomar,30,BAL,AL,144,141,130,1236.1,711,251,449,11,86,.985,11,11,5.10,4.86,2B,alomaro01
19,Sandy Alomar,32,CLE,AL,111,106,92,930.0,760,712,42,6,7,.992,5,6,7.30,6.79,C,alomasa02
20,Moises Alou,31,HOU,NL,154,152,140,1363.1,248,232,11,5,2,.980,4,3,1.60,1.58,OF,aloumo01
21,Gabe Alvarez,24,DET,AL,55,52,42,460.0,150,38,93,19,6,.873,-8,-21,2.56,2.38,3B,alvarga01
22,Wilson Alvarez,28,TBD,AL,25,25,0,142.2,11,5,6,0,1,1.000,,,0.69,0.44,P,alvarwi01
23,Rich Amaral,36,SEA,AL,65,32,18,344.1,104,90,14,0,2,1.000,-1,-4,2.72,1.46,OF-2B-1B-3B,amarari01
24,Ruben Amaro,33,PHI,NL,51,6,5,157.2,29,26,3,0,0,1.000,1,10,1.66,0.57,OF,amaroru02
25,Brady Anderson,34,BAL,AL,130,121,111,1076.0,274,269,1,4,0,.985,-22,-24,2.26,2.08,OF,anderbr01
26,Brian Anderson,26,ARI,NL,32,32,2,208.0,59,11,46,2,4,.966,,,2.47,1.78,P,anderbr02
