Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
1,Paul Abbott,34,SEA,AL,7,5,0,26.1,8,2,6,0,0,1.000,,,2.73,1.14,P,abbotpa01
2,Brent Abernathy,24,TBD,AL,116,115,109,1015.0,581,253,316,12,85,.979,-1,-2,5.05,4.91,2B,abernbr01
3,Bobby Abreu,28,PHI,NL,154,153,135,1354.0,297,282,10,5,2,.983,2,2,1.94,1.90,OF,abreubo01
4,Jose Acevedo,24,CIN,NL,6,5,0,23.2,3,2,1,0,0,1.000,,,1.14,0.50,P,acevejo01
5,Juan Acevedo,32,DET,AL,65,0,0,74.2,16,4,11,1,0,.938,,,1.81,0.23,P,aceveju01
6,Terry Adams,29,PHI,NL,46,19,0,136.2,39,11,24,4,1,.897,,,2.30,0.76,P,adamste01
7,Jeremy Affeldt,23,KCR,AL,34,7,0,77.2,20,4,14,2,1,.900,,,2.09,0.53,P,affelje01
8,Benny Agbayani,30,TOT,ZZ,50,40,23,333.2,80,77,2,1,0,.988,5,16,2.13,1.58,OF,agbaybe01
9,Kurt Ainsworth,23,SFG,NL,6,4,0,25.2,9,1,8,0,0,1.000,,,3.16,1.50,P,ainswku01
10,Israel Alcantara,29,MIL,NL,9,6,5,55.0,21,20,0,1,1,.952,-3,-68,3.27,2.22,OF-1B,alcanis01
11,Antonio Alfonseca,30,CHC,NL,66,0,0,74.1,18,4,13,1,1,.944,,,2.06,0.26,P,alfonan01
12,Edgardo Alfonzo,28,NYM,NL,134,131,120,1154.0,385,95,278,12,22,.969,8,8,2.91,2.78,3B,alfoned01
13,Luis Alicea,36,KCR,AL,65,43,31,403.0,209,72,129,8,22,.962,2,7,4.49,2.96,2B-3B-1B-OF-SS,alicelu01
14,Chad Allen,27,CLE,AL,4,3,3,29.0,4,4,0,0,0,1.000,0,-17,1.24,1.00,OF,allench01
15,Luke Allen,23,LAD,NL,3,1,1,16.0,4,4,0,0,0,1.000,0,-8,2.25,1.33,OF,allenlu01
16,Armando Almanza,29,FLA,NL,51,0,0,45.2,8,3,5,0,0,1.000,,,1.58,0.16,P,almanar01
17,Carlos Almanzar,28,CIN,NL,8,1,0,11.2,3,0,3,0,1,1.000,,,2.31,0.38,P,almanca01
18,Roberto Alomar,34,NYM,NL,147,146,126,1265.2,632,273,348,11,94,.983,-12,-11,4.42,4.22,2B,alomaro01
19,Sandy Alomar,36,TOT,ZZ,88,76,71,676.2,507,483,22,2,4,.996,1,2,6.72,5.74,C,alomasa02
20,Moises Alou,35,CHC,NL,124,124,95,1043.2,211,203,6,2,1,.991,-9,-10,1.80,1.69,OF,aloumo01
21,Juan Alvarez,28,TEX,AL,52,0,0,39.2,9,5,4,0,1,1.000,,,2.04,0.17,P,alvarju01
22,Tony Alvarez,23,PIT,NL,8,7,4,60.2,10,10,0,0,0,1.000,-1,-18,1.48,1.25,OF,alvarto01
23,Victor Alvarez,25,LAD,NL,4,1,0,10.1,1,0,1,0,0,1.000,,,0.87,0.25,P,alvarvi01
24,Wilson Alvarez,32,TBD,AL,23,10,0,75.0,8,2,6,0,0,1.000,,,0.96,0.35,P,alvarwi01
25,Alfredo Amezaga,24,ANA,AL,5,3,2,34.0,18,7,11,0,1,1.000,1,21,4.76,3.60,SS,amezaal01
26,Brady Anderson,38,CLE,AL,29,22,16,208.2,53,52,0,1,0,.981,-2,-10,2.24,1.79,OF,anderbr01
27,Brian Anderson,30,ARI,NL,35,24,0,156.0,43,5,36,2,4,.953,,,2.37,1.17,P,anderbr02
28,Garret Anderson,30,ANA,AL,147,147,125,1276.2,311,302,7,2,3,.994,12,11,2.18,2.10,OF,anderga01
29,Jimmy Anderson,26,PIT,NL,28,25,1,140.2,41,6,34,1,4,.976,,,2.56,1.43,P,anderji02
30,Marlon Anderson,28,PHI,NL,143,140,110,1198.2,674,272,382,20,90,.970,2,2,4.91,4.57,2B,anderma02
31,Matt Anderson,25,DET,AL,12,0,0,11.0,2,1,1,0,1,1.000,,,1.64,0.17,P,anderma01
32,Shane Andrews,30,BOS,AL,7,3,2,34.0,16,9,7,0,2,1.000,1,25,4.24,2.29,3B-1B-OF,andresh01
33,Kevin Appier,34,ANA,AL,32,32,0,188.1,32,18,14,0,0,1.000,,,1.53,1.00,P,appieke01
34,Alex Arias,34,NYY,AL,5,2,1,20.0,7,0,6,1,1,.857,1,30,2.70,1.20,3B-SS,ariasal01
35,Tony Armas,24,MON,NL,29,29,0,164.1,37,15,22,0,4,1.000,,,2.03,1.28,P,armasto02
36,Rolando Arrojo,36,BOS,AL,29,8,0,81.1,21,13,6,2,2,.905,,,2.10,0.66,P,arrojro01
37,Bronson Arroyo,25,PIT,NL,9,4,0,27.0,10,3,7,0,0,1.000,,,3.33,1.11,P,arroybr01
38,Miguel Asencio,21,KCR,AL,31,21,0,123.1,26,14,11,1,1,.962,,,1.82,0.81,P,asencmi01
39,Andy Ashby,34,LAD,NL,30,30,0,181.2,35,16,18,1,2,.971,,,1.68,1.13,P,ashbyan01
40,Pedro Astacio,33,NYM,NL,31,31,3,191.2,35,6,28,1,0,.971,,,1.60,1.10,P,astacpe01
41,Rich Aurilia,30,SFG,NL,131,130,115,1126.0,558,213,334,11,97,.980,-4,-5,4.37,4.18,SS,aurilri01
42,Brad Ausmus,33,HOU,NL,129,121,116,1079.0,1010,942,65,3,9,.997,5,6,8.40,7.81,C,ausmubr01
43,Jeff Austin,25,KCR,AL,10,0,0,11.0,0,0,0,0,0,,,,0.00,0.00,P,austije01
44,Bruce Aven,30,CLE,AL,7,6,4,50.0,12,12,0,0,0,1.000,1,29,2.16,1.71,OF,avenbr01
45,Manny Aybar,30,SFG,NL,15,0,0,14.1,3,2,1,0,0,1.000,,,1.88,0.20,P,aybarma01
46,Brandon Backe,24,TBD,AL,9,0,0,13.0,0,0,0,0,0,,,,0.00,0.00,P,backebr01
47,Mike Bacsik,24,NYM,NL,11,9,1,55.2,20,4,15,1,0,.950,,,3.07,1.73,P,bacsimi02
48,Carlos Baerga,33,BOS,AL,18,10,7,90.0,58,25,32,1,4,.983,0,1,5.70,3.17,2B-3B,baergca01
49,Danys Báez,24,CLE,AL,39,26,1,165.1,31,12,17,2,1,.935,,,1.58,0.74,P,baezda01
50,Jeff Bagwell,34,HOU,NL,153,153,143,1348.0,1373,1254,112,7,119,.995,-2,-2,9.12,8.93,1B,bagweje01
51,Cory Bailey,31,KCR,AL,37,0,0,46.0,14,7,7,0,0,1.000,,,2.74,0.38,P,baileco01
52,Paul Bako,30,MIL,NL,76,65,59,587.2,457,420,33,4,2,.991,-4,-8,6.94,5.96,C,bakopa01
53,James Baldwin,30,SEA,AL,30,23,0,150.0,34,9,25,0,2,1.000,,,2.04,1.13,P,baldwja01
54,Brian Banks,31,FLA,NL,10,5,2,42.0,13,11,1,1,1,.923,0,3,2.57,1.20,OF-3B-1B,banksbr01
55,Willie Banks,33,BOS,AL,29,0,0,39.0,12,3,8,1,0,.917,,,2.54,0.38,P,bankswi01
56,Rod Barajas,26,ARI,NL,70,41,31,408.1,314,295,18,1,1,.997,1,3,6.90,4.47,C-1B,barajro01
57,Lorenzo Barcelo,24,CHW,AL,4,0,0,6.0,3,0,3,0,1,1.000,,,4.50,0.75,P,barcelo01
58,Josh Bard,24,CLE,AL,24,24,22,209.1,168,153,13,2,4,.988,1,6,7.14,6.92,C,bardjo01
59,Kevin Barker,26,SDP,NL,6,5,4,45.1,50,49,1,0,5,1.000,1,13,9.93,8.33,1B,barkeke01
60,Michael Barrett,25,MON,NL,114,107,98,953.0,843,778,56,9,13,.989,-3,-4,7.88,7.19,C-1B,barremi01
