Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,David Aardsma,22,SFG,NL,11,0,0,10.2,0,0,0,0,0,,,,-1,-19,0,0.00,0.00,P,aardsda01
2,Paul Abbott,36,TOT,ZZ,20,19,0,96.0,17,6,9,2,0,.882,,,-2,-25,0,1.41,0.75,P,abbotpa01
3,Bobby Abreu,30,PHI,NL,158,157,149,1394.2,330,311,13,6,4,.982,-16,-14,2,1,6,2.09,2.05,OF,abreubo01
4,Jose Acevedo,26,CIN,NL,39,27,0,157.2,22,4,18,0,0,1.000,,,-2,-3,0,1.26,0.56,P,acevejo01
5,Mike Adams,25,MIL,NL,46,0,0,53.0,5,0,5,0,0,1.000,,,0,0,0,0.85,0.11,P,adamsmi03
6,Russ Adams,23,TOR,AL,21,18,17,159.1,78,26,47,5,9,.936,-1,-9,-2,-14,0,4.12,3.48,SS,adamsru01
7,Terry Adams,31,TOT,AL,61,0,0,70.0,15,9,4,2,1,.867,,,-2,-34,-1,1.67,0.21,P,adamste01
8,Jon Adkins,26,CHW,AL,50,0,0,62.0,13,4,8,1,1,.923,,,2,6,0,1.74,0.24,P,adkinjo01
9,Jeremy Affeldt,25,KCR,AL,38,8,0,76.1,17,3,12,2,2,.882,,,1,3,0,1.77,0.39,P,affelje01
10,Chris Aguila,25,FLA,NL,20,7,7,89.0,22,19,1,2,0,.909,-1,-9,0,0,0,2.02,1.00,OF,aguilch01
11,Kurt Ainsworth,25,BAL,AL,7,7,0,30.2,4,2,2,0,1,1.000,,,0,0,0,1.17,0.57,P,ainswku01
12,Manny Alexander,33,TEX,AL,21,5,5,70.0,35,10,22,3,1,.914,0,-5,0,-7,0,4.11,1.52,SS-2B-3B,alexama02
13,Jason Alfaro,26,HOU,NL,3,2,0,16.2,5,2,3,0,1,1.000,0,14,0,0,0,2.70,1.67,SS,alfarja01
14,Antonio Alfonseca,32,ATL,NL,79,0,0,73.2,10,3,7,0,0,1.000,,,-3,-8,0,1.22,0.13,P,alfonan01
15,Edgardo Alfonzo,30,SFG,NL,133,127,108,1123.1,363,93,256,14,22,.961,-3,-3,-12,-12,1,2.80,2.60,3B-2B,alfoned01
16,Chad Allen,29,TEX,AL,13,11,7,95.0,14,14,0,0,0,1.000,0,-3,2,25,0,1.33,1.08,OF,allench01
17,Armando Almanza,31,ATL,NL,13,0,0,11.2,1,0,1,0,0,1.000,,,0,0,0,0.77,0.08,P,almanar01
18,Carlos Almanzar,30,TEX,AL,67,0,0,72.2,13,1,12,0,0,1.000,,,-1,-3,0,1.61,0.19,P,almanca01
19,Roberto Alomar,36,TOT,ZZ,41,36,28,306.1,160,71,85,4,24,.975,-4,-15,-7,-27,-1,4.58,3.80,2B,alomaro01
20,Sandy Alomar,38,CHW,AL,49,46,34,377.0,296,278,15,3,2,.990,3,10,-1,-3,1,6.99,5.98,C,alomasa02
21,Moises Alou,37,CHC,NL,154,152,131,1338.1,255,240,7,8,2,.969,-11,-10,-2,-1,-4,1.66,1.60,OF,aloumo01
22,Abe Alvarez,21,BOS,AL,1,1,0,5.0,1,1,0,0,0,1.000,,,0,0,0,1.80,1.00,P,alvarab01
23,Tony Alvarez,25,PIT,NL,16,10,6,86.0,17,17,0,0,0,1.000,-1,-10,-2,-27,0,1.78,1.06,OF,alvarto01
24,Wilson Alvarez,34,LAD,NL,40,15,0,120.2,19,3,16,0,0,1.000,,,2,3,0,1.42,0.48,P,alvarwi01
25,Alfredo Amezaga,26,ANA,AL,71,22,13,285.0,135,48,84,3,10,.978,3,14,3,12,0,4.17,1.78,SS-3B-2B,amezaal01
26,Brian Anderson,32,KCR,AL,35,26,2,166.0,31,5,24,2,2,.935,,,3,4,0,1.57,0.83,P,anderbr02
27,Garret Anderson,32,ANA,AL,94,92,75,791.2,217,211,4,2,1,.991,-7,-11,-10,-15,4,2.44,2.29,OF,anderga01
28,Jason Anderson,25,CLE,AL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,anderja01
29,Jimmy Anderson,28,TOT,ZZ,12,0,0,15.2,5,4,1,0,0,1.000,,,0,0,0,2.87,0.42,P,anderji02
30,Marlon Anderson,30,STL,NL,72,49,24,425.2,181,102,72,7,21,.961,-3,-8,-5,-14,0,3.68,2.32,2B-OF-1B,anderma02
31,Rick Ankiel,24,STL,NL,5,0,0,10.0,4,1,3,0,0,1.000,,,1,20,0,3.60,0.80,P,ankieri01
32,Kevin Appier,36,KCR,AL,2,2,0,4.0,2,1,1,0,0,1.000,,,1,50,0,4.50,1.00,P,appieke01
33,Greg Aquino,26,ARI,NL,34,0,0,35.1,7,3,4,0,0,1.000,,,0,0,0,1.78,0.21,P,aquingr01
34,Danny Ardoin,29,TEX,AL,6,2,2,25.0,24,21,2,1,0,.958,-1,-48,-2,-96,-1,8.28,3.83,C,ardoida01
35,Tony Armas,26,MON,NL,16,16,0,72.0,15,2,13,0,3,1.000,,,1,3,-1,1.88,0.94,P,armasto02
36,Bronson Arroyo,27,BOS,AL,32,29,0,178.2,42,24,16,2,2,.952,,,-1,-1,0,2.01,1.25,P,arroybr01
37,Andy Ashby,36,SDP,NL,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,ashbyan01
38,Pedro Astacio,35,BOS,AL,4,1,0,8.2,1,1,0,0,0,1.000,,,0,0,0,1.04,0.20,P,astacpe01
39,Scott Atchison,28,SEA,AL,25,0,0,30.2,8,2,6,0,1,1.000,,,0,0,0,2.35,0.32,P,atchisc01
40,Garrett Atkins,24,COL,NL,10,7,4,58.0,34,29,5,0,7,1.000,1,10,0,0,0,5.28,3.40,3B-1B-OF,atkinga01
41,Rich Aurilia,32,TOT,MLB,114,105,92,941.0,413,150,253,10,47,.976,-5,-6,0,0,0,3.85,3.47,SS-3B-2B-1B,aurilri01
42,Brad Ausmus,35,HOU,NL,128,114,101,1018.1,986,920,61,5,10,.995,2,2,1,1,5,8.67,7.66,C,ausmubr01
43,Luis Ayala,26,MON,NL,81,0,0,90.1,30,9,21,0,4,1.000,,,5,11,1,2.99,0.37,P,ayalalu01
44,Brandon Backe,26,HOU,NL,33,9,0,67.0,14,4,10,0,1,1.000,,,1,3,0,1.88,0.42,P,backebr01
45,Mike Bacsik,26,TEX,AL,3,3,0,15.2,3,1,2,0,0,1.000,,,0,0,0,1.72,1.00,P,bacsimi02
46,Cha-Seung Baek,24,SEA,AL,7,5,0,31.0,5,3,2,0,0,1.000,,,1,6,0,1.45,0.71,P,baekch01
47,Carlos Baerga,35,ARI,NL,6,4,3,35.2,36,32,4,0,2,1.000,1,20,1,27,0,9.08,6.00,1B,baergca01
48,Danys Báez,26,TBD,AL,62,0,0,68.0,11,1,10,0,0,1.000,,,0,0,0,1.46,0.18,P,baezda01
49,Jeff Bagwell,36,HOU,NL,152,151,139,1328.2,1294,1190,98,6,109,.995,6,5,6,5,1,8.72,8.47,1B,bagweje01
50,Jeff Bajenaru,26,CHW,AL,9,0,0,8.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,bajenje01
51,Paul Bako,32,CHC,NL,47,43,32,377.2,366,332,30,4,2,.989,1,3,3,10,0,8.63,7.70,C,bakopa01
52,Rocco Baldelli,22,TBD,AL,124,120,118,1047.0,361,342,11,8,2,.978,-6,-6,8,9,0,3.03,2.85,OF,baldero01
53,James Baldwin,32,NYM,NL,2,2,0,6.0,2,0,2,0,0,1.000,,,0,0,0,3.00,1.00,P,baldwja01
54,Grant Balfour,26,MIN,AL,36,0,0,39.1,7,3,4,0,0,1.000,,,-1,-5,0,1.60,0.19,P,balfogr01
55,Rod Barajas,28,TEX,AL,107,102,93,911.2,690,659,24,7,2,.990,5,7,-2,-3,-2,6.74,6.38,C-1B,barajro01
56,Josh Bard,26,CLE,AL,7,6,5,53.0,51,47,4,0,1,1.000,0,0,-1,-23,-1,8.66,7.29,C,bardjo01
57,Clint Barmes,25,COL,NL,18,17,13,141.1,101,36,63,2,12,.980,2,20,4,30,0,6.30,5.50,SS-2B,barmecl01
58,Michael Barrett,27,CHC,NL,130,119,111,1081.1,1088,1035,47,6,9,.994,-3,-3,-9,-10,-1,9.01,8.32,C,barremi01
59,Jason Bartlett,24,MIN,AL,6,2,2,23.0,19,5,12,2,3,.895,-1,-63,1,63,0,6.65,2.83,SS-2B,bartlja01
60,Cliff Bartosh,24,CLE,AL,34,0,0,19.1,1,1,0,0,0,1.000,,,-1,-10,0,0.47,0.03,P,bartocl01
61,Miguel Batista,33,TOR,AL,38,31,2,198.2,49,18,30,1,5,.980,,,2,2,0,2.17,1.26,P,batismi01
62,Tony Batista,30,MON,NL,155,149,144,1326.0,409,82,308,19,35,.954,5,4,-1,-1,0,2.65,2.52,3B,batisto01
63,Rick Bauer,27,BAL,AL,23,2,0,53.2,12,3,9,0,1,1.000,,,2,7,0,2.01,0.52,P,bauerri01
64,Danny Bautista,32,ARI,NL,137,137,127,1192.2,283,271,8,4,1,.986,-8,-8,-26,-26,-6,2.11,2.04,OF,bautida01
65,Denny Bautista,23,TOT,AL,7,5,0,29.2,1,0,1,0,0,1.000,,,-1,-40,0,0.30,0.14,P,bautide01
66,José Bautista,23,TOT,MLB,44,20,9,195.1,56,32,20,4,2,.929,-2,-9,-6,-36,-2,2.40,1.18,OF-3B,bautijo02
67,Jason Bay,25,PIT,NL,119,110,105,984.0,216,211,3,2,0,.991,-3,-4,0,0,2,1.96,1.80,OF,bayja01
68,Rod Beck,35,SDP,NL,26,0,0,24.0,3,0,2,1,0,.667,,,-1,-8,0,0.75,0.08,P,beckro01
69,Josh Beckett,24,FLA,NL,26,26,1,156.2,23,4,17,2,0,.913,,,1,1,0,1.21,0.81,P,beckejo02
70,Erik Bedard,25,BAL,AL,27,26,0,137.1,19,10,9,0,0,1.000,,,-2,-3,1,1.25,0.70,P,bedarer01
71,Joe Beimel,27,MIN,AL,3,0,0,1.2,0,0,0,0,0,,,,-1,-120,,0.00,0.00,P,beimejo01
72,David Bell,31,PHI,NL,142,141,123,1239.2,421,89,308,24,22,.943,13,12,17,17,-1,2.88,2.80,3B,bellda01
73,Heath Bell,26,NYM,NL,17,0,0,24.1,3,0,3,0,0,1.000,,,0,0,0,1.11,0.18,P,bellhe01
74,Rob Bell,27,TBD,AL,24,19,1,123.0,29,17,11,1,0,.966,,,-1,-2,0,2.05,1.17,P,bellro01
75,Mark Bellhorn,29,BOS,AL,136,132,112,1162.1,598,201,383,14,64,.977,4,4,2,2,0,4.52,4.14,2B-3B-SS,bellhma01
76,Ronnie Belliard,29,CLE,AL,151,148,138,1320.2,719,278,427,14,89,.981,-3,-3,-1,-1,-2,4.80,4.67,2B,belliro01
77,Carlos Beltrán,27,TOT,ZZ,158,157,145,1369.1,418,398,12,8,3,.981,-5,-5,12,10,2,2.69,2.59,OF,beltrca01
78,Francis Beltran,24,TOT,NL,45,0,0,49.1,6,0,5,1,1,.833,,,-2,-48,-1,0.91,0.11,P,beltrfr01
79,Rigo Beltran,34,MON,NL,2,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,beltrri01
80,Adrián Beltré,25,LAD,NL,155,154,138,1341.1,453,120,323,10,32,.978,29,26,22,20,0,2.97,2.84,3B-SS,beltrad01
81,Armando Benitez,31,FLA,NL,64,0,0,69.2,8,4,3,1,0,.875,,,0,0,0,0.90,0.11,P,benitar01
82,Gary Bennett,32,MIL,NL,75,65,57,584.0,413,379,31,3,3,.993,-1,-2,-1,-2,2,6.32,5.47,C,bennega01
83,Jeff Bennett,24,MIL,NL,60,0,0,71.1,14,6,7,1,0,.929,,,-1,-3,0,1.64,0.22,P,benneje01
84,Joaquín Benoit,26,TEX,AL,28,15,0,103.0,13,6,6,1,1,.923,,,-1,-2,0,1.05,0.43,P,benoijo01
85,Kris Benson,29,TOT,NL,31,31,1,200.1,43,17,25,1,2,.977,,,0,0,0,1.89,1.35,P,bensokr01
86,Chad Bentz,24,MON,NL,36,0,0,27.2,10,5,5,0,0,1.000,,,0,0,0,3.25,0.28,P,bentzch01
87,Dave Berg,33,TOR,AL,45,34,25,316.2,107,86,16,5,9,.953,-7,-28,-5,-18,0,2.90,2.27,OF-1B-2B-3B,bergda01
88,Brandon Berger,29,KCR,AL,11,9,9,87.0,26,25,1,0,1,1.000,1,7,-4,-55,-2,2.69,2.36,OF,bergebr01
