Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
483,Hector Ramirez,27,MIL,NL,1,2,.333,3.43,15,0,5,0,0,0,21.0,19,8,8,1,11,2,9,0,1,0,88,134,4.47,1.429,8.1,0.4,4.7,3.9,0.82,ramirhe01
484,Roberto Ramirez*,27,COL,NL,1,5,.167,8.26,32,4,6,0,0,1,40.1,68,42,37,8,22,2,32,0,0,4,209,71,5.76,2.231,15.2,1.8,4.9,7.1,1.45,ramirro01
485,Robert Ramsay*,25,SEA,AL,0,2,.000,6.38,6,3,1,0,0,0,18.1,23,13,13,3,9,1,11,0,0,1,81,79,5.53,1.745,11.3,1.5,4.4,5.4,1.22,ramsaro01
486,Pat Rapp,31,BOS,AL,6,7,.462,4.12,37,26,3,0,0,0,146.1,147,78,67,13,69,1,90,7,0,5,638,122,4.62,1.476,9.0,0.8,4.2,5.5,1.30,rapppa01
487,Gary Rath*,26,MIN,AL,0,1,.000,11.57,5,1,1,0,0,0,4.2,6,6,6,1,5,0,1,0,1,2,25,47,8.71,2.357,11.6,1.9,9.6,1.9,0.20,rathga01
488,Ken Ray,24,KCR,AL,1,0,1.000,8.74,13,0,4,0,0,0,11.1,23,12,11,2,6,0,0,1,0,0,57,58,7.28,2.559,18.3,1.6,4.8,0.0,0.00,rayke01
489,Mark Redman*,25,MIN,AL,1,0,1.000,8.53,5,1,0,0,0,0,12.2,17,13,12,3,7,0,11,1,0,0,65,61,6.37,1.895,12.1,2.1,5.0,7.8,1.57,redmama01
490,Rick Reed,34,NYM,NL,11,5,.688,4.58,26,26,0,1,1,0,149.1,163,77,76,23,47,2,104,1,0,1,637,97,4.71,1.406,9.8,1.4,2.8,6.3,2.21,reedri01
491,Steve Reed,34,CLE,AL,3,2,.600,4.23,63,0,15,0,0,0,61.2,69,33,29,10,20,5,44,3,0,2,274,118,4.93,1.443,10.1,1.5,2.9,6.4,2.20,reedst01
492,Dan Reichert,22,KCR,AL,2,2,.500,9.08,8,8,0,0,0,0,36.2,48,38,37,2,32,1,20,2,0,1,183,55,5.53,2.182,11.8,0.5,7.9,4.9,0.63,reichda01
493,Bryan Rekar,27,TBD,AL,6,6,.500,5.80,27,12,2,0,0,0,94.2,121,68,61,14,41,2,55,5,0,4,437,85,5.35,1.711,11.5,1.3,3.9,5.2,1.34,rekarbr01
494,Mike Remlinger*,33,ATL,NL,10,1,.909,2.37,73,0,14,0,0,1,83.2,66,24,22,9,35,5,81,1,0,5,346,190,3.89,1.207,7.1,1.0,3.8,8.7,2.31,remlimi01
495,Alberto Reyes,29,TOT,MLB,4,3,.571,4.52,53,0,12,0,0,0,65.2,50,33,33,9,41,3,67,6,0,3,287,102,5.02,1.386,6.9,1.2,5.6,9.2,1.63,reyesal01
496,Alberto Reyes,29,MIL,NL,2,0,1.000,4.25,26,0,6,0,0,0,36.0,27,17,17,5,25,1,39,3,0,2,161,107,5.11,1.444,6.8,1.3,6.3,9.8,1.56,reyesal01
497,Alberto Reyes,29,BAL,AL,2,3,.400,4.85,27,0,6,0,0,0,29.2,23,16,16,4,16,2,28,3,0,1,126,96,4.92,1.315,7.0,1.2,4.9,8.5,1.75,reyesal01
498,Carlos Reyes,30,SDP,NL,2,4,.333,3.72,65,0,23,0,0,1,77.1,76,38,32,11,24,4,57,0,1,7,331,113,4.44,1.293,8.8,1.3,2.8,6.6,2.38,reyesca01
