Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.86,.685,162,1458,1151,13137.0,6259,4379,1776,104,172,.983,12,1,,0,-1
Atlanta Braves,45,4.97,.686,162,1458,1087,12972.0,6031,4324,1608,99,146,.984,57,5,,-1,2
Baltimore Orioles,46,5.55,.678,162,1458,1102,12771.0,5966,4257,1607,102,156,.983,-4,0,,0,-8
Boston Red Sox,53,5.09,.679,162,1458,1056,12972.0,6052,4324,1662,66,174,.989,0,0,,-1,8
Chicago Cubs,46,5.15,.698,162,1458,1115,12951.0,5903,4317,1480,106,122,.982,5,0,,0,-8
Chicago White Sox,37,4.90,.693,162,1458,1096,13041.0,6092,4347,1655,90,145,.985,-30,-3,,-3,-10
Cincinnati Reds,52,4.94,.680,162,1458,1119,13011.0,6064,4337,1599,128,139,.979,-31,-3,,-1,-10
Cleveland Indians,45,4.83,.675,162,1458,1208,12810.0,6057,4270,1669,118,165,.981,-22,-2,,-4,8
Colorado Rockies,50,5.01,.683,162,1458,1158,13026.0,6249,4342,1816,91,190,.985,22,2,,0,5
Detroit Tigers,38,4.17,.701,162,1458,1124,13032.0,6230,4344,1780,106,162,.983,57,5,,1,-6
Florida Marlins,40,4.77,.683,162,1458,995,12900.0,6014,4300,1588,126,166,.979,-5,0,,-1,-14
Houston Astros,38,4.44,.701,162,1458,1042,13218.0,6239,4406,1753,80,164,.987,68,6,,1,0
Kansas City Royals,53,5.99,.676,162,1458,1165,12837.0,6035,4279,1658,98,189,.984,-6,-1,,0,-4
Los Angeles Angels of Anaheim,40,4.52,.690,162,1458,1097,13074.0,6027,4358,1545,124,154,.979,9,1,,0,-3
Los Angeles Dodgers,50,4.64,.681,162,1458,1049,13143.0,6292,4381,1796,115,174,.982,-27,-3,,-3,-10
Milwaukee Brewers,49,5.14,.685,162,1458,1179,12831.0,5976,4277,1582,117,126,.980,-18,-2,,0,-2
Minnesota Twins,38,4.22,.685,162,1458,1174,12954.0,6049,4318,1647,84,135,.986,-2,0,,0,6
New York Mets,49,4.51,.701,162,1458,1173,13152.0,6126,4384,1638,104,131,.983,42,4,,1,6
New York Yankees,49,4.73,.696,162,1458,1023,12993.0,6028,4331,1593,104,145,.983,-24,-2,,-1,4
Oakland Athletics,39,4.49,.688,162,1458,1191,13065.0,6065,4355,1626,84,173,.986,-11,-1,,0,0
Philadelphia Phillies,44,5.01,.681,162,1458,1096,13143.0,6170,4381,1685,104,153,.983,-13,-1,,-1,-3
Pittsburgh Pirates,41,4.92,.674,162,1458,1147,12915.0,6199,4305,1790,104,168,.983,-37,-3,,-3,3
San Diego Padres,43,4.19,.710,162,1458,1081,13173.0,6079,4391,1596,92,138,.985,30,3,,1,3
Seattle Mariners,49,4.89,.690,162,1458,1171,13020.0,6058,4340,1630,88,150,.985,17,2,,1,2
San Francisco Giants,44,4.91,.700,161,1449,1032,12867.0,5961,4289,1581,91,132,.985,22,2,,0,11
St. Louis Cardinals,41,4.73,.697,161,1449,1016,12867.0,6169,4289,1782,98,170,.984,33,3,,5,12
Tampa Bay Devil Rays,49,5.28,.671,162,1458,1125,12783.0,5971,4261,1594,116,156,.981,-55,-5,,-3,-9
Texas Rangers,51,4.84,.678,162,1458,1199,12882.0,6140,4294,1748,98,174,.984,-33,-3,,0,8
Toronto Blue Jays,42,4.65,.693,162,1458,1097,12855.0,6096,4285,1712,99,157,.984,32,3,,1,3
Washington Nationals,57,5.38,.689,162,1458,1118,12927.0,5941,4309,1501,131,123,.978,-37,-3,,-4,-2
League Average,41,4.86,.687,162,1457,1113,12977,6085,4326,1657,102,155,.983,2,0,,0,0
