Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,48,4.25,.685,162,1458,1206,12903.0,6067,4301,1676,90,146,.985,-15,-1,,0,6
Atlanta Braves,41,3.70,.703,162,1458,1194,13008.0,6076,4336,1654,86,147,.986,101,9,,1,11
Baltimore Orioles,51,4.35,.699,162,1458,1153,13347.0,6235,4449,1680,106,151,.983,20,2,,0,-6
Boston Red Sox,56,4.98,.689,162,1458,1108,12987.0,6117,4329,1687,101,159,.983,44,4,,1,4
Chicago Cubs,53,4.69,.692,162,1458,1092,12723.0,5929,4241,1583,105,148,.982,12,1,,-1,-9
Chicago White Sox,45,4.17,.702,162,1458,1145,13011.0,5985,4337,1578,70,154,.988,55,5,,0,-9
Cincinnati Reds,38,3.63,.699,162,1458,1153,13077.0,6050,4359,1602,89,113,.985,23,2,,1,8
Cleveland Indians,47,5.22,.685,162,1458,1104,12978.0,6087,4326,1665,96,157,.984,-20,-2,,-1,-9
Colorado Rockies,49,5.49,.657,162,1458,1117,12798.0,6106,4266,1718,122,139,.980,-58,-5,,-2,-24
Detroit Tigers,46,4.14,.678,162,1458,1088,12876.0,5872,4292,1481,99,127,.983,-59,-5,,-1,0
Houston Astros,50,4.90,.675,162,1458,1069,12810.0,6117,4270,1729,118,132,.981,-67,-6,,-1,-9
Kansas City Royals,45,4.60,.673,162,1458,1217,13062.0,6091,4354,1624,113,171,.981,-43,-4,,0,11
Los Angeles Angels of Anaheim,43,4.31,.708,162,1458,1101,12900.0,5976,4300,1578,98,141,.984,36,3,,4,23
Los Angeles Dodgers,50,3.69,.702,162,1458,1057,13047.0,6116,4349,1669,98,138,.984,10,1,,0,2
Miami Marlins,44,4.47,.685,162,1458,1154,12966.0,6074,4322,1649,103,154,.983,2,0,,-1,-10
Milwaukee Brewers,46,4.52,.672,162,1458,1079,13083.0,5992,4361,1532,99,133,.983,-26,-2,,0,5
Minnesota Twins,47,5.14,.690,162,1458,1171,12948.0,6207,4316,1784,107,188,.983,-20,-2,,0,0
New York Mets,48,4.38,.694,162,1458,1060,12906.0,5905,4302,1502,101,135,.983,-5,0,,-1,-6
New York Yankees,45,4.12,.693,162,1458,1097,13008.0,5882,4336,1471,75,135,.987,-17,-2,,0,5
Oakland Athletics,50,3.79,.704,162,1458,1174,13230.0,6089,4410,1568,111,135,.982,23,2,,0,4
Philadelphia Phillies,49,4.20,.686,162,1458,1098,13062.0,6015,4354,1560,101,118,.983,-27,-2,,0,12
Pittsburgh Pirates,49,4.16,.697,162,1458,1072,12900.0,6068,4300,1656,112,126,.982,-20,-2,,-4,-10
San Diego Padres,53,4.38,.697,162,1458,1079,12912.0,6080,4304,1655,121,97,.980,-32,-3,,-3,1
Seattle Mariners,37,4.02,.707,162,1458,1201,13110.0,6012,4370,1570,72,155,.988,1,0,,0,-1
San Francisco Giants,45,4.01,.693,162,1458,1054,13059.0,6107,4353,1639,115,134,.981,-7,-1,,0,-6
St. Louis Cardinals,45,4.00,.686,162,1458,1045,13164.0,6249,4388,1754,107,149,.983,-6,-1,,2,5
Tampa Bay Rays,43,3.56,.704,162,1458,1005,13137.0,6134,4379,1641,114,155,.981,-3,0,,1,-3
Texas Rangers,39,4.36,.694,162,1458,1106,12978.0,5907,4326,1496,85,136,.986,9,1,,0,-4
Toronto Blue Jays,54,4.84,.694,162,1458,1156,12993.0,6169,4331,1737,101,167,.984,72,7,,1,5
Washington Nationals,43,3.67,.702,162,1458,1056,13215.0,6131,4405,1632,94,134,.985,38,3,,0,-2
League Average,43,4.32,.691,162,1458,1114,13007,6062,4336,1626,100,142,.983,1,0,,0,0
